Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
98	1522	3427	1848	53.92	3.43	12.17	127118	0
1	1504	3404	1842	54.11	3.38	28.48	130029	0
150	1513	3434	1866	54.34	3.49	14.75	128204	0
50	1512	3413	1844	54.03	3.37	14.46	126970	0
890	1520	3421	1843	53.87	3.42	14.34	128208	0
250	1512	3409	1840	53.97	3.38	20.71	128152	0
2000	1511	3403	1835	53.92	3.39	14.28	125341	0
2035	1519	3416	1839	53.83	3.45	18.31	127653	0
11390	1510	3424	1856	54.21	3.38	15.19	126573	0
11040	1510	3423	1855	54.19	3.42	15.51	126942	0
7899	1514	3427	1856	54.16	3.44	13.83	130374	0
17899	1510	3414	1846	54.07	3.39	18.21	127750	0
12035	1518	3406	1830	53.73	3.29	21.08	126793	0
12000	1507	3401	1837	54.01	3.36	19.22	129708	0
21390	1508	3427	1862	54.33	3.45	20.75	129803	0
27899	1517	3398	1823	53.65	3.37	17.10	131785	0
22035	1522	3417	1837	53.76	3.41	15.54	128167	0
22000	1514	3405	1833	53.83	3.45	20.09	127354	0
32035	1495	3433	1880	54.76	3.53	19.94	131764	0
871	1515	3421	1848	54.02	3.41	15.39	129277	0
31040	1515	3423	1851	54.08	3.43	19.16	129769	0
33	1491	3401	1853	54.48	3.39	27.39	129609	0
1098	1531	3417	1829	53.53	3.38	16.85	127181	0
90	1505	3429	1866	54.42	3.46	15.74	131043	0
1176	1515	3425	1853	54.10	3.41	15.53	127656	0
543	1519	3414	1838	53.84	3.43	26.46	129548	0
1394	1520	3419	1839	53.79	3.42	18.80	127236	0
9761	1513	3426	1856	54.17	3.44	17.21	130564	0
671	1514	3427	1856	54.16	3.47	17.56	130220	0
8888	1517	3383	1809	53.47	3.23	19.01	128603	0
