Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
50	1469	4039	2515	62.27	3.00	16.85	106923	0
1	1470	4032	2508	62.20	2.99	9.27	105421	0
150	1460	4050	2537	62.64	3.12	10.86	106169	0
98	1451	4021	2516	62.57	3.00	22.15	106952	0
250	1460	4023	2511	62.42	2.94	14.67	106988	0
890	1466	4027	2505	62.21	2.95	10.22	107271	0
2000	1486	4022	2482	61.71	2.92	9.38	106867	0
2035	1457	4026	2516	62.49	2.93	9.55	107109	0
12035	1462	4036	2515	62.31	3.07	14.17	106914	0
17899	1464	4018	2500	62.22	2.93	17.27	104975	0
11390	1472	4028	2500	62.07	3.03	9.10	105172	0
7899	1480	4022	2488	61.86	3.00	10.81	106806	0
11040	1490	4023	2478	61.60	2.94	10.97	105429	0
12000	1474	4035	2507	62.13	2.96	13.21	106473	0
32035	1466	4052	2528	62.39	3.03	14.99	106553	0
22035	1462	4026	2508	62.30	2.97	9.58	106828	0
31040	1476	4029	2499	62.03	2.96	10.23	107276	0
22000	1484	4022	2485	61.79	2.94	11.23	108877	0
21390	1481	4028	2493	61.89	3.00	18.31	106764	0
27899	1472	4027	2498	62.03	2.96	10.72	104450	0
871	1462	4041	2526	62.51	2.98	16.38	109413	0
90	1482	4025	2489	61.84	2.88	8.66	105594	0
543	1466	4020	2498	62.14	2.90	13.25	106189	0
1098	1467	4024	2500	62.13	2.93	9.49	106376	0
33	1455	4026	2517	62.52	3.09	18.43	106370	0
1176	1497	4034	2483	61.55	2.96	13.28	106828	0
1394	1462	4023	2505	62.27	2.94	14.44	107209	0
9761	1466	4024	2504	62.23	2.89	10.34	108434	0
8888	1462	4019	2503	62.28	2.97	13.52	106747	0
671	1468	4013	2491	62.07	2.93	14.40	107648	0
