Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	2240	3492	1104	31.62	3.99	27.95	101538	0
50	2248	3507	1111	31.68	4.03	22.68	102003	0
98	2240	3499	1111	31.75	4.01	24.07	101339	0
150	2229	3481	1104	31.72	3.96	20.65	101786	0
250	2231	3489	1110	31.81	3.99	20.35	101508	0
890	2233	3497	1116	31.91	3.98	23.51	101950	0
2000	2236	3495	1111	31.79	3.89	20.17	101709	0
2035	2240	3495	1107	31.67	3.97	20.32	102590	0
11390	2232	3499	1119	31.98	4.02	20.08	101060	0
7899	2247	3505	1110	31.67	4.00	20.03	102063	0
11040	2249	3505	1108	31.61	3.98	20.17	103118	0
17899	2235	3502	1119	31.95	4.01	20.26	101254	0
12000	2231	3477	1098	31.58	3.85	20.34	101374	0
12035	2231	3493	1114	31.89	4.04	20.27	101756	0
21390	2227	3493	1118	32.01	4.02	20.61	101763	0
22000	2240	3498	1110	31.73	3.98	20.34	102726	0
22035	2231	3497	1118	31.97	3.99	20.42	103666	0
27899	2232	3496	1116	31.92	3.99	20.52	101127	0
31040	2239	3492	1105	31.64	4.02	22.71	103744	0
32035	2259	3517	1110	31.56	4.07	22.12	102200	0
871	2232	3488	1108	31.77	4.02	24.35	101765	0
1098	2236	3486	1102	31.61	4.02	20.88	103097	0
33	2240	3492	1104	31.62	4.08	25.85	103076	0
90	2232	3491	1111	31.82	4.07	23.25	102685	0
1176	2232	3495	1115	31.90	4.04	25.02	102539	0
543	2230	3492	1114	31.90	4.03	24.35	101784	0
9761	2247	3493	1098	31.43	4.05	25.83	103536	0
1394	2240	3500	1112	31.77	4.00	21.41	102124	0
8888	2237	3501	1116	31.88	4.02	20.15	101581	0
671	2241	3496	1107	31.66	3.99	19.46	101022	0
