Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	6979	12223	4986	40.79	3.63	244.95	0	9984	1154522	0
2035	6999	11963	4695	39.25	3.12	103.75	0	9984	1107845	0
2000	7116	12169	4768	39.18	3.83	219.90	0	9984	1133468	0
50	6669	12060	5093	42.23	3.45	161.74	0	9984	1138366	0
150	6916	11835	4644	39.24	2.68	73.35	0	9984	1163768	0
890	6881	11782	4625	39.25	3.39	196.35	0	9984	1163705	0
250	6932	11946	4752	39.78	3.20	115.63	0	9984	1172426	0
98	6881	11960	4735	39.59	3.43	176.41	0	9984	1153946	0
11040	6890	12097	4952	40.94	3.23	109.57	0	9984	1069242	0
11390	6793	12038	4932	40.97	3.37	187.05	0	9984	1132806	0
12000	7046	12190	4873	39.98	3.31	176.50	0	9984	1149852	0
7899	7210	12410	4914	39.60	3.30	149.87	0	9984	1181133	0
21390	7040	12197	4883	40.03	2.94	127.12	0	9984	1180451	0
12035	7033	12289	4992	40.62	3.31	207.10	0	9984	1187406	0
17899	6830	12056	4927	40.87	3.75	227.93	0	9984	1200216	0
31040	7029	12287	5000	40.69	3.47	186.52	0	9984	1127003	0
27899	6854	11941	4828	40.43	3.30	253.95	0	9984	1160943	0
22000	6977	11899	4597	38.63	2.97	103.13	0	9984	1150775	0
871	6604	11781	4907	41.65	2.99	189.12	0	9984	1108832	0
22035	6828	11805	4711	39.91	2.89	151.05	0	9984	1132819	0
33	6849	11693	4590	39.25	3.16	118.05	0	9984	1158398	0
32035	6556	11633	4830	41.52	3.12	195.35	0	9984	1174237	0
9761	7036	12233	4889	39.97	3.19	189.95	0	9984	1107980	0
1176	6958	12125	4920	40.58	3.68	201.34	0	9984	1109374	0
90	7022	12177	4869	39.99	3.62	177.45	0	9984	1141485	0
1394	6802	12193	5118	41.97	3.29	155.57	0	9984	1125090	0
1098	6701	12102	5047	41.70	3.05	123.90	0	9984	1151237	0
543	6717	11785	4811	40.82	3.44	197.70	0	9984	1152938	0
8888	7257	12236	4691	38.34	3.23	135.27	0	9984	1124821	0
671	6883	12077	4891	40.50	3.25	116.73	0	9984	1130506	0
