Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	5408	9911	4357	43.96	4.68	134.15	0	0	1121592	0
50	5464	9811	4204	42.85	4.79	151.26	0	0	1124635	0
1	5451	9862	4279	43.39	4.34	120.41	0	0	1112725	0
150	5479	9932	4308	43.37	5.01	159.86	0	0	1131098	0
250	5464	9760	4127	42.28	4.69	177.90	0	0	1127084	0
2000	5386	9881	4350	44.02	4.52	162.95	0	0	1091706	0
7899	5298	9523	4071	42.75	4.58	136.52	0	0	1087203	0
11040	5313	9468	4012	42.37	4.26	145.36	0	0	1108820	0
12000	5485	9947	4324	43.47	4.73	142.96	0	0	1106311	0
890	5273	9475	4042	42.66	4.64	120.97	0	0	1107433	0
11390	5604	9834	4071	41.40	4.59	157.33	0	0	1105880	0
2035	5283	9533	4103	43.04	4.67	173.68	0	0	1127954	0
27899	5408	9792	4233	43.23	4.48	165.02	0	0	1095673	0
22035	5252	9648	4249	44.04	4.75	133.24	0	0	1127146	0
12035	5568	9777	4050	41.42	4.17	110.65	0	0	1109076	0
21390	5512	9827	4164	42.37	4.28	120.65	0	0	1118455	0
31040	5412	9856	4288	43.51	4.30	118.79	0	0	1117382	0
17899	5382	9897	4367	44.12	4.54	122.30	0	0	1108553	0
22000	5182	9503	4168	43.86	4.69	137.40	0	0	1134271	0
32035	5239	9500	4123	43.40	4.71	141.91	0	0	1077117	0
871	5393	9564	4028	42.12	4.46	102.02	0	0	1101533	0
543	5428	9757	4175	42.79	4.50	132.35	0	0	1109787	0
90	5165	9755	4441	45.53	4.35	117.62	0	0	1100586	0
1098	5440	9910	4320	43.59	5.25	207.32	0	0	1116369	0
33	5303	9513	4062	42.70	4.19	128.10	0	0	1113257	0
1176	5307	9633	4162	43.21	4.55	118.31	0	0	1119719	0
1394	5341	9647	4153	43.05	4.30	123.58	0	0	1082503	0
8888	5558	9650	3943	40.86	4.29	159.54	0	0	1092970	0
671	5428	9794	4220	43.09	4.63	135.82	0	0	1093040	0
9761	5421	9784	4214	43.07	4.85	159.85	0	0	1123879	0
