Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	7619	12738	4909	38.54	5.20	240.01	0	0	1366062	0
150	7327	12478	4944	39.62	5.03	194.72	0	0	1360963	0
1	7400	12207	4613	37.79	4.51	190.37	0	0	1349554	0
890	7515	12356	4641	37.56	5.00	205.02	0	0	1362629	0
2000	7379	12485	4901	39.26	4.89	198.67	0	0	1357904	0
98	7208	12391	4978	40.17	5.30	203.71	0	0	1347084	0
250	7521	12600	4847	38.47	5.08	236.85	0	0	1373267	0
12000	7557	12510	4755	38.01	5.30	193.03	0	0	1361825	0
12035	7462	12433	4763	38.31	4.81	177.90	0	0	1362665	0
17899	7515	12724	5055	39.73	4.99	205.47	0	0	1352288	0
11390	7279	12437	4988	40.11	5.08	242.71	0	0	1364979	0
11040	7521	12653	4957	39.18	5.08	185.86	0	0	1351206	0
2035	7560	12890	5135	39.84	5.07	186.68	0	0	1359583	0
7899	7470	12415	4784	38.53	4.69	185.79	0	0	1349758	0
27899	7512	12301	4595	37.35	5.13	244.07	0	0	1338439	0
21390	7621	12795	4976	38.89	4.70	172.20	0	0	1333667	0
32035	7345	12615	5066	40.16	5.18	204.29	0	0	1346931	0
22035	7347	12787	5233	40.92	5.07	186.89	0	0	1379771	0
871	7551	12497	4746	37.98	5.11	212.02	0	0	1359308	0
22000	7460	12424	4780	38.47	4.44	181.87	0	0	1375267	0
31040	7766	12717	4765	37.47	4.77	217.26	0	0	1369778	0
1098	7388	12446	4858	39.03	5.10	208.33	0	0	1333587	0
543	7510	12406	4679	37.72	5.19	264.39	0	0	1353116	0
9761	7571	12520	4764	38.05	5.09	228.62	0	0	1384098	0
90	7677	12806	4928	38.48	5.17	207.85	0	0	1347009	0
33	7434	12521	4894	39.09	5.04	222.03	0	0	1401023	0
1394	7303	12455	4981	39.99	5.04	230.41	0	0	1363740	0
1176	7698	12599	4706	37.35	5.33	256.78	0	0	1372185	0
671	7751	12845	4880	37.99	5.06	232.72	0	0	1367230	0
8888	7379	12666	5071	40.04	4.87	204.89	0	0	1356789	0
