Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	3051	7435	4192	56.38	2.86	31.69	0	18002	309502	0
1	3107	7427	4131	55.62	2.89	26.32	0	18002	307687	0
250	3114	7443	4131	55.50	2.87	25.71	0	18002	300808	0
98	3087	7441	4169	56.03	2.86	16.20	0	18002	304515	0
150	3117	7441	4132	55.53	2.85	29.68	0	18002	306887	0
7899	3098	7447	4160	55.86	2.85	22.07	0	18002	298519	0
2035	3067	7503	4255	56.71	2.93	31.22	0	18002	300962	0
11040	3082	7413	4150	55.98	2.82	25.92	0	18002	307244	0
2000	3065	7454	4200	56.35	2.90	32.20	0	18002	310046	0
11390	3079	7442	4175	56.10	2.91	26.88	0	18002	303280	0
890	3124	7481	4167	55.70	2.92	24.49	0	18002	303947	0
12000	3109	7451	4153	55.74	2.86	23.13	0	18002	307753	0
22035	3233	7445	4031	54.14	2.83	31.10	0	18002	304116	0
31040	3028	7440	4213	56.63	2.86	27.09	0	18002	303975	0
22000	3100	7427	4133	55.65	2.89	37.11	0	18002	303831	0
12035	3108	7432	4137	55.66	2.87	28.33	0	18002	306144	0
17899	3090	7457	4178	56.03	2.91	27.11	0	18002	306852	0
21390	3108	7401	4100	55.40	2.85	28.60	0	18002	310146	0
27899	3122	7433	4109	55.28	2.86	27.46	0	18002	305439	0
543	3066	7426	4150	55.88	2.86	22.80	0	18002	303199	0
32035	3103	7439	4148	55.76	2.88	27.09	0	18002	301020	0
871	3074	7435	4180	56.22	2.87	26.44	0	18002	305417	0
1098	3125	7407	4095	55.29	2.83	34.36	0	18002	304176	0
33	3079	7475	4203	56.23	2.89	37.14	0	18002	304556	0
90	3090	7440	4170	56.05	2.85	22.68	0	18002	299130	0
1176	3056	7461	4219	56.55	2.88	35.15	0	18002	307853	0
671	3075	7460	4186	56.11	2.92	21.21	0	18002	297520	0
1394	3098	7468	4178	55.95	2.89	34.30	0	18002	298277	0
8888	3079	7421	4143	55.83	2.90	35.26	0	18002	306696	0
9761	3056	7406	4171	56.32	2.90	35.75	0	18002	316621	0
