Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	3307	6203	2779	44.80	3.46	73.58	0	9987	718716	0
50	3379	6287	2786	44.31	3.31	89.69	0	9987	732642	0
1	3416	6252	2726	43.60	3.61	156.36	0	9987	710947	0
150	3423	6221	2675	43.00	3.49	135.66	0	9987	728578	0
250	3447	6186	2627	42.47	3.34	76.39	0	9987	756798	0
7899	3313	6307	2868	45.47	3.57	90.14	0	9987	714862	0
11040	3373	6350	2861	45.06	3.63	156.65	0	9987	687599	0
2035	3318	6292	2853	45.34	3.80	207.38	0	9987	713963	0
11390	3334	6187	2732	44.16	3.72	162.21	0	9987	712403	0
890	3386	6322	2820	44.61	3.76	128.65	0	9987	704092	0
12000	3377	6300	2806	44.54	3.30	117.65	0	9987	733270	0
2000	3400	6318	2805	44.40	3.60	178.39	0	9987	732891	0
12035	3400	6287	2769	44.04	3.68	157.42	0	9987	693515	0
27899	3405	6257	2735	43.71	3.31	69.63	0	9987	715919	0
31040	3390	6211	2698	43.44	3.25	52.87	0	9987	711227	0
21390	3055	5963	2830	47.46	3.67	189.57	0	9987	718668	0
22000	3343	6238	2776	44.50	3.04	67.90	0	9987	721778	0
17899	3399	6265	2750	43.89	3.55	138.63	0	9987	727261	0
22035	3488	6215	2613	42.04	3.34	102.00	0	9987	742570	0
32035	3446	6259	2695	43.06	3.10	40.50	0	9987	711291	0
90	3361	6314	2835	44.90	3.20	62.41	0	9987	711108	0
871	3306	6258	2834	45.29	3.33	76.85	0	9987	721500	0
1098	3337	6349	2893	45.57	3.82	202.39	0	9987	738969	0
33	3370	6347	2863	45.11	3.59	136.01	0	9987	742376	0
1176	3386	6207	2710	43.66	3.22	59.01	0	9987	737925	0
543	3167	5859	2618	44.68	3.24	79.95	0	9987	757413	0
671	3354	6290	2822	44.86	3.41	83.52	0	9987	688536	0
8888	3326	6208	2756	44.39	3.44	92.14	0	9987	718100	0
1394	3446	6198	2630	42.43	3.75	187.78	0	9987	734941	0
9761	3500	6308	2679	42.47	3.48	134.35	0	9987	750326	0
