Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
50	4287	12125	7578	62.50	3.02	18.77	253460	0
1	4185	12059	7642	63.37	3.01	18.62	250393	0
98	4242	12054	7597	63.02	2.96	18.74	254010	0
890	4198	12099	7660	63.31	2.97	22.93	257744	0
2000	4222	12097	7669	63.40	3.00	17.73	255145	0
150	4230	12093	7633	63.12	3.04	24.48	258222	0
2035	4290	12119	7608	62.78	3.00	15.64	261743	0
7899	4268	12155	7663	63.04	3.01	17.72	257222	0
250	4184	11957	7610	63.64	2.95	18.89	260326	0
11040	4171	12022	7617	63.36	3.05	19.37	260670	0
21390	4177	11950	7615	63.72	2.97	18.09	248212	0
12035	4224	12120	7675	63.33	3.04	17.83	258482	0
22000	4201	12045	7639	63.42	3.01	17.61	257850	0
11390	4286	12095	7566	62.55	3.01	21.06	255243	0
12000	4263	12041	7561	62.79	3.05	18.73	259233	0
17899	4239	12092	7619	63.01	3.01	16.35	254880	0
22035	4185	12083	7694	63.68	3.07	19.75	258922	0
32035	4234	12122	7666	63.24	2.94	19.28	249931	0
31040	4265	12082	7557	62.55	3.03	18.19	254159	0
33	4287	12130	7596	62.62	3.06	20.06	252234	0
90	4206	12061	7653	63.45	2.98	15.67	253324	0
871	4247	12065	7610	63.08	3.05	21.61	256686	0
27899	4242	12127	7650	63.08	2.98	15.94	255114	0
1098	4231	12128	7636	62.96	3.01	19.60	262051	0
1394	4246	12029	7578	63.00	2.99	20.66	254489	0
1176	4248	12082	7591	62.83	2.99	23.07	253826	0
543	4213	12124	7642	63.03	2.98	20.60	255663	0
9761	4214	12128	7687	63.38	2.98	18.56	257177	0
8888	4230	12144	7703	63.43	3.15	19.91	260937	0
671	4240	12121	7638	63.01	3.02	22.14	256930	0
