Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
98	4536	10706	6013	56.16	3.39	27.89	375244	0
50	4401	10555	5999	56.84	3.42	34.96	369225	0
1	4546	10784	6082	56.40	3.45	27.72	383058	0
7899	4580	10747	6008	55.90	3.56	34.43	373405	0
890	4531	10690	6000	56.13	3.43	28.90	380719	0
150	4534	10757	6079	56.51	3.51	29.60	375094	0
11040	4569	10737	6013	56.00	3.49	25.99	385508	0
250	4580	10769	6025	55.95	3.66	39.19	371472	0
2000	4530	10819	6129	56.65	3.54	27.60	378237	0
2035	4617	10740	5971	55.60	3.46	30.34	382353	0
22000	4551	10798	6088	56.38	3.48	28.01	385893	0
11390	4597	10785	6029	55.90	3.49	31.57	381573	0
12000	4519	10807	6124	56.67	3.52	27.99	383454	0
21390	4685	10686	5853	54.77	3.59	40.02	375119	0
17899	4508	10722	6062	56.54	3.48	27.00	381878	0
22035	4776	10712	5783	53.99	3.55	38.11	379536	0
12035	4613	10719	5947	55.48	3.57	32.45	387202	0
90	4540	10686	5988	56.04	3.48	39.24	375804	0
31040	4582	10690	5953	55.69	3.41	31.11	384183	0
871	4655	10766	5956	55.32	3.60	26.67	388874	0
1098	4503	10738	6075	56.57	3.44	30.53	380258	0
33	4658	10680	5864	54.91	3.54	30.36	373342	0
32035	4552	10863	6155	56.66	3.43	29.20	383690	0
27899	4589	10801	6048	55.99	3.53	33.09	388905	0
9761	4630	10735	5949	55.42	3.54	37.65	366835	0
543	4625	10718	5919	55.22	3.50	29.00	378763	0
1176	4601	10803	6036	55.87	3.50	27.86	382275	0
1394	4539	10735	6040	56.26	3.46	32.26	373839	0
8888	4576	10707	5970	55.76	3.43	23.51	387655	0
671	4609	10820	6058	55.99	3.60	41.78	386153	0
