Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
50	4447	11638	7022	60.34	3.55	28.54	294300	0
98	4394	11679	7111	60.89	3.66	34.16	298254	0
1	4409	11607	7023	60.51	3.69	38.95	302546	0
2000	4471	11604	6968	60.05	3.56	31.69	295420	0
11040	4433	11585	6981	60.26	3.56	36.66	290503	0
150	4509	11628	6932	59.61	3.50	27.23	289163	0
250	4451	11638	7005	60.19	3.52	31.06	299759	0
7899	4463	11661	7028	60.27	3.53	33.62	287635	0
2035	4458	11532	6906	59.89	3.51	31.84	293477	0
890	4442	11581	6976	60.24	3.50	28.65	297778	0
11390	4426	11616	7020	60.43	3.58	24.84	293793	0
21390	4453	11643	7019	60.29	3.70	37.34	291361	0
22000	4465	11589	6964	60.09	3.52	36.65	294090	0
22035	4525	11640	6956	59.76	3.57	33.03	290792	0
12035	4476	11598	6934	59.79	3.53	25.12	293656	0
17899	4428	11612	7013	60.39	3.51	34.40	293614	0
12000	4491	11598	6935	59.79	3.63	25.42	301707	0
90	4538	11653	6943	59.58	3.59	34.84	291571	0
32035	4407	11578	6996	60.42	3.55	32.62	286943	0
31040	4468	11583	6942	59.93	3.55	27.25	291756	0
27899	4396	11595	7027	60.60	3.53	24.77	296074	0
1098	4453	11634	7007	60.23	3.60	32.04	293240	0
33	4413	11595	7002	60.39	3.51	32.25	298508	0
871	4517	11573	6877	59.42	3.56	31.65	297944	0
9761	4442	11613	6985	60.15	3.53	34.95	283723	0
543	4452	11551	6931	60.00	3.52	34.12	290120	0
1394	4502	11572	6893	59.57	3.49	33.56	291565	0
671	4474	11610	6967	60.01	3.54	28.15	288161	0
1176	4552	11644	6920	59.43	3.46	28.43	291695	0
8888	4459	11562	6936	59.99	3.45	26.74	296931	0
