Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	6965	14216	7062	49.68	5.53	210.43	0	0	1170493	0
98	7051	14646	7436	50.77	5.41	174.87	0	0	1164577	0
250	7086	14495	7214	49.77	5.09	174.09	0	0	1174814	0
890	7063	14751	7512	50.93	5.49	174.05	0	0	1187180	0
150	7105	14509	7229	49.82	5.51	190.07	0	0	1195449	0
2000	7173	14554	7199	49.46	5.69	211.70	0	0	1185849	0
1	6905	14523	7445	51.26	5.52	202.38	0	0	1191758	0
12035	6922	14582	7508	51.49	5.08	184.32	0	0	1161411	0
2035	6888	14617	7525	51.48	5.82	233.51	0	0	1174734	0
7899	6876	14399	7339	50.97	5.49	198.94	0	0	1162377	0
17899	7124	14358	6990	48.68	5.32	204.35	0	0	1185711	0
11040	7126	14560	7221	49.59	5.58	200.15	0	0	1201665	0
12000	7116	14498	7182	49.54	5.53	235.10	0	0	1187739	0
11390	6932	14557	7426	51.01	5.48	205.16	0	0	1185728	0
31040	6936	14675	7569	51.58	5.48	178.35	0	0	1161681	0
22035	6923	14566	7445	51.11	5.48	180.47	0	0	1176617	0
32035	7109	14562	7291	50.07	5.37	177.05	0	0	1203350	0
27899	7018	14113	6927	49.08	5.26	179.90	0	0	1193189	0
871	7140	14428	7093	49.16	5.12	212.16	0	0	1196264	0
22000	7000	14563	7379	50.67	5.80	200.19	0	0	1193717	0
21390	7000	14567	7409	50.86	5.78	244.14	0	0	1223935	0
1394	7109	14449	7159	49.55	5.50	168.73	0	0	1164815	0
1176	7081	14602	7348	50.32	5.71	200.85	0	0	1191713	0
90	7031	14539	7343	50.51	5.03	165.76	0	0	1193323	0
1098	6890	14573	7499	51.46	5.37	171.48	0	0	1156688	0
33	6974	14607	7424	50.82	5.32	170.08	0	0	1164777	0
543	7073	14550	7302	50.19	5.13	175.25	0	0	1203027	0
9761	6996	14458	7286	50.39	5.09	171.43	0	0	1185741	0
671	7151	14480	7120	49.17	5.10	184.03	0	0	1157223	0
8888	6961	14648	7506	51.24	5.53	197.83	0	0	1176795	0
