Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
50	1388	3905	2428	62.18	4.11	18.42	110620	0
1	1364	3913	2462	62.92	3.97	12.07	110739	0
150	1375	3912	2449	62.60	4.10	14.71	111548	0
250	1355	3899	2455	62.96	3.96	10.15	109482	0
98	1355	3906	2462	63.03	3.91	13.18	112790	0
2000	1365	3911	2454	62.75	4.02	14.52	111384	0
890	1367	3893	2434	62.52	3.82	24.96	109609	0
17899	1385	3901	2429	62.27	4.01	14.77	108676	0
7899	1394	3895	2410	61.87	4.03	10.94	110561	0
11390	1372	3905	2445	62.61	4.04	11.28	111678	0
12035	1375	3911	2448	62.59	3.97	15.04	110860	0
12000	1354	3920	2479	63.24	4.15	16.29	112317	0
2035	1369	3902	2446	62.69	4.21	13.94	113721	0
11040	1368	3894	2435	62.53	4.06	10.61	112678	0
21390	1351	3901	2458	63.01	3.95	10.47	110815	0
22035	1361	3904	2451	62.78	4.08	11.41	110197	0
22000	1368	3896	2442	62.68	4.03	15.71	108952	0
31040	1367	3904	2449	62.73	3.98	15.06	111134	0
27899	1367	3905	2448	62.69	3.95	29.62	112125	0
871	1372	3917	2455	62.68	3.99	10.67	110392	0
32035	1360	3902	2450	62.79	4.15	20.83	114000	0
1098	1365	3911	2457	62.82	3.92	15.97	109986	0
90	1369	3907	2450	62.71	3.99	13.88	112489	0
33	1366	3902	2444	62.63	4.02	27.93	110848	0
9761	1362	3894	2442	62.71	3.97	15.70	111217	0
1394	1372	3899	2438	62.53	4.02	16.05	109949	0
543	1366	3902	2449	62.76	4.00	13.65	112013	0
1176	1381	3903	2431	62.29	4.30	20.20	116240	0
8888	1360	3912	2464	62.99	4.05	17.03	110663	0
671	1407	3914	2420	61.83	4.22	21.09	111584	0
