Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
98	1425	3693	2245	60.79	3.82	23.10	149342	0
150	1437	3709	2249	60.64	3.94	17.51	145202	0
1	1421	3697	2253	60.94	3.79	17.46	146368	0
50	1409	3698	2266	61.28	3.86	15.49	147372	0
250	1435	3690	2232	60.49	3.95	22.76	147702	0
2000	1427	3701	2251	60.82	3.96	15.33	147758	0
890	1415	3691	2252	61.01	3.80	20.31	147079	0
7899	1420	3708	2265	61.08	4.02	24.99	147178	0
17899	1400	3700	2277	61.54	3.89	21.22	144558	0
2035	1426	3698	2247	60.76	3.91	28.44	144799	0
12000	1438	3697	2236	60.48	3.89	18.99	146445	0
12035	1433	3703	2247	60.68	3.79	15.29	145245	0
11040	1425	3699	2251	60.85	3.93	16.22	150195	0
11390	1409	3685	2253	61.14	3.96	22.40	149209	0
31040	1446	3699	2229	60.26	3.77	15.03	144273	0
21390	1430	3687	2234	60.59	3.84	22.72	145399	0
22000	1428	3700	2249	60.78	3.79	18.54	145197	0
22035	1427	3714	2264	60.96	3.98	21.45	148631	0
871	1426	3689	2241	60.75	3.78	13.91	145163	0
27899	1426	3700	2251	60.84	3.80	17.87	147597	0
32035	1426	3680	2231	60.62	3.92	16.23	148661	0
90	1410	3704	2271	61.31	3.88	17.88	145765	0
9761	1432	3698	2243	60.65	3.91	16.90	143312	0
33	1410	3688	2255	61.14	3.72	14.44	146263	0
1098	1442	3710	2245	60.51	3.85	17.96	146805	0
1176	1432	3693	2238	60.60	3.91	16.94	144105	0
543	1413	3695	2259	61.14	3.77	15.37	149502	0
1394	1429	3720	2268	60.97	4.05	15.39	148593	0
8888	1399	3681	2258	61.34	3.89	18.95	146589	0
671	1417	3704	2264	61.12	4.02	19.98	149027	0
