Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	6354	14081	7503	53.28	3.65	33.91	489830	0
890	6574	14198	7386	52.02	3.87	39.73	471881	0
98	6404	14293	7634	53.41	3.74	42.22	490134	0
50	6499	14375	7644	53.18	3.91	34.95	495520	0
150	6353	14202	7614	53.61	3.79	40.76	489279	0
250	6433	14237	7574	53.20	3.95	38.69	488747	0
2035	6531	14286	7525	52.67	3.77	41.84	496836	0
2000	6556	14182	7391	52.12	3.92	39.98	497530	0
7899	6501	14273	7534	52.78	3.71	32.48	474807	0
11390	6521	14115	7362	52.16	3.78	40.63	489615	0
12035	6480	14228	7501	52.72	3.79	33.47	484400	0
12000	6593	14322	7488	52.28	3.90	42.91	498614	0
17899	6390	14365	7745	53.92	3.84	39.56	499379	0
21390	6589	14317	7493	52.34	3.90	36.53	491299	0
11040	6503	14409	7678	53.29	3.88	44.76	506401	0
22035	6531	14234	7476	52.52	3.91	33.83	483778	0
33	6496	14305	7575	52.95	3.94	39.19	483943	0
31040	6497	14298	7561	52.88	3.79	43.28	491336	0
32035	6682	14149	7220	51.03	3.99	42.42	482309	0
22000	6647	14318	7432	51.91	4.04	36.31	488889	0
27899	6521	14386	7628	53.02	3.85	46.95	485093	0
871	6505	14445	7711	53.38	3.87	37.40	492124	0
543	6520	14263	7508	52.64	3.89	43.58	487975	0
9761	6496	14279	7545	52.84	3.81	36.58	485772	0
1394	6456	14242	7558	53.07	3.83	50.81	479648	0
90	6528	14411	7643	53.04	3.77	33.68	494021	0
1098	6446	14328	7645	53.36	3.93	37.43	500036	0
1176	6427	14375	7714	53.66	3.88	39.11	501042	0
8888	6616	14349	7495	52.23	3.82	40.84	498533	0
671	6395	14299	7677	53.69	3.73	34.68	493291	0
