Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	6704	11782	4830	40.99	3.20	32.46	377194	0
2000	6692	11682	4738	40.56	3.18	33.11	370065	0
98	6696	11687	4739	40.55	3.18	31.43	368282	0
250	6684	11766	4825	41.01	3.22	36.98	370630	0
50	6697	11677	4716	40.39	3.23	32.59	370684	0
150	6549	11542	4739	41.06	3.20	33.29	370387	0
890	6740	11773	4772	40.53	3.20	30.28	372673	0
2035	6782	11715	4677	39.92	3.23	38.88	376935	0
17899	6819	11642	4574	39.29	3.15	33.67	371475	0
12035	6332	11235	4655	41.43	3.00	31.05	361861	0
11390	6729	11701	4719	40.33	3.16	32.63	362912	0
12000	6716	11681	4701	40.24	3.17	29.83	368076	0
11040	6765	11775	4766	40.48	3.23	34.77	374884	0
7899	6554	11584	4784	41.30	3.25	35.63	376467	0
21390	6678	11690	4757	40.69	3.19	33.45	366472	0
22035	6664	11654	4742	40.69	3.18	33.06	361253	0
22000	6734	11696	4713	40.30	3.15	41.96	374702	0
27899	6665	11691	4767	40.77	3.16	33.36	370181	0
871	6713	11757	4777	40.63	3.21	28.93	365305	0
31040	6737	11708	4723	40.34	3.22	34.20	371590	0
33	6726	11773	4801	40.78	3.17	29.19	369000	0
32035	6696	11839	4870	41.14	3.24	31.71	371672	0
1098	6657	11664	4751	40.73	3.16	30.58	370741	0
1176	6656	11727	4825	41.14	3.20	32.10	368250	0
90	6750	11814	4811	40.72	3.24	31.37	370172	0
543	6633	11749	4871	41.46	3.19	30.19	368357	0
1394	6750	11772	4775	40.56	3.18	34.23	375092	0
8888	6705	11791	4827	40.94	3.27	36.42	373718	0
9761	6705	11711	4747	40.53	3.23	32.10	374612	0
671	6712	11696	4722	40.37	3.31	36.01	372466	0
