Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	6129	15485	9069	58.57	2.97	55.28	0	22027	512568	0
50	6284	15722	9156	58.24	2.96	33.93	0	22027	484618	0
2035	6166	15501	8961	57.81	2.94	43.71	0	22027	509642	0
150	6101	15436	9056	58.67	3.02	44.40	0	22027	511382	0
890	6429	15582	8843	56.75	3.01	53.50	0	22027	519365	0
250	6304	15425	8761	56.80	2.97	50.46	0	22027	511760	0
2000	6450	15695	8829	56.25	2.96	40.96	0	22027	522583	0
98	6439	15669	8929	56.99	3.01	32.07	0	22027	535510	0
11390	6209	15604	8992	57.63	3.02	50.96	0	22027	505208	0
17899	6207	15736	9232	58.67	3.09	37.21	0	22027	508070	0
12035	6414	15689	8851	56.42	3.00	42.29	0	22027	514988	0
7899	6144	15553	9083	58.40	2.99	35.59	0	22027	517092	0
21390	6298	15479	8851	57.18	2.95	35.43	0	22027	513347	0
12000	6335	15620	8910	57.04	3.05	44.97	0	22027	528911	0
11040	6268	15511	8896	57.35	2.94	39.97	0	22027	531487	0
22035	6427	15785	8948	56.69	3.02	27.28	0	22027	503019	0
22000	6321	15579	8873	56.95	2.90	31.28	0	22027	505671	0
871	6309	15602	9002	57.70	2.99	37.87	0	22027	485077	0
31040	6483	15626	8835	56.54	2.99	46.59	0	22027	509349	0
27899	6305	15485	8896	57.45	2.96	33.66	0	22027	532898	0
32035	6486	15717	8866	56.41	3.01	50.27	0	22027	540414	0
33	6436	15638	8820	56.40	2.97	45.90	0	22027	553241	0
9761	6073	15726	9373	59.60	2.95	31.87	0	22027	476803	0
1098	6449	15570	8749	56.19	3.07	58.30	0	22027	512562	0
1394	6408	15656	8806	56.25	2.97	46.09	0	22027	526693	0
8888	6355	15565	8908	57.23	2.98	38.81	0	22027	512601	0
90	6205	15531	9040	58.21	3.01	61.87	0	22027	528115	0
543	6307	15514	8908	57.42	2.94	41.86	0	22027	518516	0
1176	6439	15509	8781	56.62	3.10	63.15	0	22027	526861	0
671	6260	15559	8992	57.79	2.95	34.94	0	22027	518125	0
