Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	6587	9785	3005	30.71	2.81	415.87	0	5996	1287351	0
2000	6101	9149	2919	31.91	3.29	472.79	0	5996	1301467	0
890	6989	10142	2957	29.16	3.80	366.27	0	5996	1295786	0
50	5641	8692	2966	34.12	3.88	432.35	0	5996	1349992	0
98	5482	8300	2686	32.36	3.52	417.18	0	5996	1337716	0
250	5533	8473	2719	32.09	2.99	376.07	0	5996	1304722	0
150	6259	9525	3071	32.24	3.53	843.85	0	5996	1337701	0
2035	5836	9059	3045	33.61	4.20	766.40	0	5996	1346327	0
11040	6489	9587	2944	30.71	3.89	754.45	0	5996	1326633	0
12035	6548	9863	3131	31.74	3.81	724.97	0	5996	1288340	0
7899	5077	8013	2856	35.64	3.59	402.17	0	5996	1306917	0
17899	5657	8215	2477	30.15	3.07	344.93	0	5996	1279377	0
11390	5645	8404	2669	31.76	3.97	383.16	0	5996	1320614	0
12000	5847	8926	2885	32.32	3.95	370.07	0	5996	1351673	0
21390	5721	8841	2977	33.67	4.20	649.98	0	5996	1313541	0
871	5556	8393	2702	32.19	3.13	481.31	0	5996	1268852	0
22035	6304	9519	2999	31.51	3.65	451.10	0	5996	1320183	0
32035	5375	8483	2980	35.13	4.13	773.12	0	5996	1285571	0
33	5607	8811	3012	34.18	3.76	889.54	0	5996	1270670	0
22000	6615	9634	2792	28.98	3.79	567.05	0	5996	1277525	0
31040	6662	9902	3019	30.49	3.49	475.30	0	5996	1327321	0
27899	5215	8187	2848	34.79	3.85	491.75	0	5996	1379879	0
543	6285	9555	3023	31.64	3.74	841.16	0	5996	1220430	0
90	5943	8900	2766	31.08	3.29	473.70	0	5996	1277704	0
8888	6564	9317	2656	28.51	3.30	519.90	0	5996	1253459	0
9761	5641	8527	2687	31.51	3.26	531.03	0	5996	1296368	0
1098	4919	7724	2610	33.79	3.25	329.39	0	5996	1315776	0
1176	5157	8194	2906	35.46	3.79	616.60	0	5996	1307632	0
1394	6234	9263	2803	30.26	3.35	410.13	0	5996	1359341	0
671	6272	9411	2912	30.94	4.53	840.99	0	5996	1398020	0
