Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	7244	12721	5241	41.20	3.37	60.40	0	13992	940464	0
98	7509	13146	5392	41.02	3.26	76.12	0	13992	946825	0
890	7591	13174	5350	40.61	3.25	77.87	0	13992	962312	0
2035	7227	13121	5665	43.18	3.62	101.90	0	13992	959586	0
250	7210	13027	5598	42.97	3.19	81.33	0	13992	963625	0
150	7093	12798	5465	42.70	3.32	89.87	0	13992	957473	0
2000	7264	12841	5352	41.68	3.09	61.06	0	13992	968051	0
50	7459	13192	5491	41.62	3.32	83.02	0	13992	991325	0
11390	7191	13028	5599	42.98	3.36	76.89	0	13992	967783	0
17899	7146	13027	5658	43.43	3.30	64.18	0	13992	946891	0
21390	7211	12786	5348	41.83	3.27	65.08	0	13992	940091	0
12000	7413	13110	5468	41.71	3.46	71.66	0	13992	962842	0
11040	7352	13239	5622	42.47	3.30	75.57	0	13992	964473	0
12035	7312	13308	5767	43.33	3.33	67.42	0	13992	963042	0
7899	7280	13097	5583	42.63	3.68	99.72	0	13992	971380	0
32035	7348	13026	5433	41.71	3.37	71.42	0	13992	955777	0
22000	7413	12958	5312	40.99	3.60	102.76	0	13992	963965	0
871	7078	13020	5719	43.92	3.43	65.15	0	13992	942997	0
22035	7331	12751	5193	40.73	3.26	104.21	0	13992	971043	0
27899	7443	13310	5628	42.28	3.47	96.05	0	13992	936250	0
33	7300	12879	5334	41.42	3.40	120.96	0	13992	968096	0
31040	7422	12799	5109	39.92	3.37	68.74	0	13992	965551	0
90	7194	13128	5689	43.33	3.16	62.84	0	13992	951732	0
9761	7156	13189	5807	44.03	3.40	73.23	0	13992	946660	0
1176	7196	12961	5516	42.56	3.52	79.27	0	13992	960601	0
1394	7506	13013	5253	40.37	3.23	105.58	0	13992	987226	0
1098	7474	13313	5611	42.15	3.36	78.85	0	13992	970078	0
8888	7508	13205	5443	41.22	3.34	107.24	0	13992	982229	0
543	7610	13128	5254	40.02	3.40	78.14	0	13992	971383	0
671	7384	13021	5397	41.45	3.43	89.68	0	13992	944434	0
