Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	4853	9286	4240	45.66	3.36	149.17	0	10041	1055319	0
50	5114	9236	3950	42.77	3.06	94.14	0	10041	1028676	0
98	4971	9075	3925	43.25	3.06	153.70	0	10041	1044562	0
890	4525	8706	4040	46.40	2.92	72.95	0	10041	983723	0
2000	4740	8981	4075	45.37	2.97	83.42	0	10041	1005430	0
2035	5018	9320	4126	44.27	3.11	129.96	0	10041	1005329	0
150	4919	9374	4288	45.74	3.07	80.58	0	10041	1006101	0
7899	4849	9379	4380	46.70	3.12	107.52	0	10041	1016396	0
11040	4708	9057	4170	46.04	3.44	128.86	0	10041	1057869	0
250	4476	8840	4200	47.51	3.31	134.36	0	10041	1047912	0
21390	4932	9227	4097	44.40	2.97	80.15	0	10041	997335	0
12035	5059	9265	4039	43.59	2.91	88.10	0	10041	1008931	0
11390	4893	9160	4117	44.95	3.18	70.15	0	10041	992881	0
22000	4582	8730	4020	46.05	3.09	102.53	0	10041	1026665	0
12000	4777	9042	4084	45.17	3.09	95.87	0	10041	1017893	0
17899	5076	9310	4081	43.83	3.27	137.71	0	10041	1041197	0
22035	4943	9274	4162	44.88	3.14	133.41	0	10041	1078638	0
32035	4793	9163	4194	45.77	3.28	94.05	0	10041	979937	0
31040	4912	9384	4295	45.77	3.15	120.96	0	10041	1015249	0
33	4830	9028	4015	44.47	3.18	146.88	0	10041	987753	0
27899	4807	9144	4176	45.67	3.42	182.50	0	10041	1017032	0
871	4763	9065	4130	45.56	3.12	135.99	0	10041	1012188	0
1098	4986	9248	4086	44.18	3.33	153.97	0	10041	1010034	0
90	5027	9356	4175	44.62	3.16	99.90	0	10041	1021246	0
1394	5050	9268	4028	43.46	3.32	111.89	0	10041	980884	0
1176	5055	9254	4017	43.41	2.89	70.81	0	10041	1011686	0
543	4955	9195	4070	44.26	3.15	99.55	0	10041	995709	0
8888	4782	9187	4242	46.17	3.08	84.80	0	10041	1036773	0
9761	4813	8986	3992	44.42	2.97	70.98	0	10041	1042310	0
671	4812	9127	4138	45.34	3.20	94.70	0	10041	1053413	0
