Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
2000	4723	11213	6306	56.24	2.93	37.85	0	18043	447035	0
98	4843	11165	6137	54.97	2.90	31.06	0	18043	463557	0
150	4846	11105	6085	54.80	2.89	37.00	0	18043	465602	0
250	4776	11211	6252	55.77	2.95	35.51	0	18043	470363	0
1	4853	11103	6068	54.65	2.87	35.25	0	18043	461973	0
890	4762	11161	6220	55.73	3.05	58.10	0	18043	478859	0
50	4852	11176	6152	55.05	2.89	39.63	0	18043	486735	0
17899	4882	11202	6139	54.80	2.91	44.98	0	18043	452626	0
11040	5001	11263	6083	54.01	3.00	34.29	0	18043	453668	0
2035	4980	11117	5962	53.63	2.92	38.41	0	18043	457445	0
7899	4823	11190	6165	55.09	2.87	45.19	0	18043	451414	0
12035	4792	11250	6274	55.77	2.95	39.44	0	18043	475053	0
11390	4800	11219	6240	55.62	2.97	35.35	0	18043	472630	0
12000	4864	11150	6101	54.72	2.88	37.77	0	18043	468735	0
871	4867	11257	6203	55.10	2.95	33.23	0	18043	456451	0
32035	4927	11263	6153	54.63	2.94	37.42	0	18043	455471	0
31040	4836	11170	6154	55.09	2.91	47.63	0	18043	466396	0
22000	4767	11151	6201	55.61	2.85	49.06	0	18043	473013	0
27899	4775	11106	6148	55.36	2.85	43.18	0	18043	459240	0
22035	4866	11201	6143	54.84	2.90	42.90	0	18043	461788	0
21390	4764	11200	6261	55.90	2.95	43.69	0	18043	469176	0
1176	4865	11185	6129	54.80	2.91	42.60	0	18043	461238	0
33	4808	11166	6185	55.39	2.86	37.97	0	18043	462500	0
90	4713	11227	6340	56.47	2.92	42.85	0	18043	474464	0
1394	4809	11219	6230	55.53	2.98	48.70	0	18043	468737	0
9761	4845	11154	6113	54.81	2.91	39.87	0	18043	485875	0
1098	4853	11141	6106	54.81	2.91	45.37	0	18043	476289	0
543	4869	11179	6126	54.80	2.91	47.71	0	18043	483695	0
671	4840	11192	6168	55.11	2.92	46.12	0	18043	464180	0
8888	4778	11212	6255	55.79	2.92	41.01	0	18043	469160	0
