Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	4411	6830	2226	32.59	3.70	322.69	0	6022	1101927	0
98	5463	7867	2249	28.59	3.63	379.35	0	6022	1092154	0
50	4619	7044	2257	32.04	3.68	436.44	0	6022	1154574	0
7899	4858	7602	2548	33.52	4.69	920.77	0	6022	1052363	0
150	5259	7791	2344	30.09	3.18	232.88	0	6022	1073693	0
2000	4542	7143	2421	33.89	3.37	177.61	0	6022	1061490	0
250	5332	7832	2339	29.86	4.22	528.39	0	6022	1088301	0
890	4723	7086	2212	31.22	3.60	397.62	0	6022	1104858	0
11040	4822	7193	2198	30.56	4.18	400.08	0	6022	1111601	0
2035	4656	7040	2184	31.02	4.32	314.64	0	6022	1134452	0
22000	4944	7434	2283	30.71	3.27	236.61	0	6022	1091109	0
11390	4728	7424	2494	33.59	3.53	219.26	0	6022	1048316	0
17899	4390	6913	2339	33.83	3.08	110.83	0	6022	1020185	0
21390	4797	7103	2207	31.07	3.38	500.15	0	6022	1090019	0
12035	4896	6964	1941	27.87	3.14	240.80	0	6022	1100264	0
12000	4420	6892	2296	33.31	3.94	532.18	0	6022	1076388	0
22035	4695	7285	2417	33.18	3.82	471.83	0	6022	1076211	0
32035	4803	7262	2342	32.25	4.00	321.26	0	6022	1053849	0
90	5239	7524	2100	27.91	3.84	217.43	0	6022	1080536	0
27899	4554	6885	2149	31.21	4.80	578.80	0	6022	1129385	0
31040	4664	7227	2363	32.70	3.98	810.46	0	6022	1092059	0
871	5488	7543	1925	25.52	3.94	527.22	0	6022	1126468	0
1098	5031	7388	2160	29.24	3.81	328.53	0	6022	1136218	0
33	4347	6555	2106	32.13	4.24	638.93	0	6022	1147179	0
671	4911	7339	2239	30.51	4.69	594.32	0	6022	1024521	0
1394	5267	7845	2392	30.49	2.96	119.90	0	6022	1086108	0
1176	4300	6516	2094	32.14	4.73	535.99	0	6022	1054409	0
9761	4899	7295	2217	30.39	3.58	228.49	0	6022	1088509	0
543	5044	7729	2506	32.42	3.79	236.30	0	6022	1071752	0
8888	5412	7759	2169	27.95	2.71	392.05	0	6022	1124901	0
