Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	4610	11936	7045	59.02	2.89	33.23	0	22028	408928	0
50	4613	11793	6923	58.70	3.02	32.69	0	22028	420784	0
1	4645	11813	6910	58.49	2.93	30.75	0	22028	438976	0
250	4603	11876	7065	59.49	2.87	27.02	0	22028	407126	0
2035	4642	11862	7009	59.09	2.88	28.23	0	22028	411532	0
7899	4617	11932	7112	59.60	2.88	29.46	0	22028	405517	0
11040	4657	11815	6957	58.88	2.85	21.91	0	22028	411912	0
2000	4537	11756	6992	59.48	2.88	29.11	0	22028	418477	0
150	4578	11871	7081	59.65	2.85	28.30	0	22028	410203	0
890	4610	11743	6934	59.05	2.96	43.10	0	22028	425606	0
12000	4586	11834	7027	59.38	2.86	23.12	0	22028	398327	0
17899	4585	11885	7089	59.65	2.86	29.12	0	22028	400166	0
12035	4640	11740	6937	59.09	2.90	26.33	0	22028	412580	0
22035	4646	11781	6900	58.57	2.85	29.34	0	22028	411828	0
11390	4644	11886	7037	59.20	2.90	21.73	0	22028	410323	0
22000	4555	11856	7096	59.85	2.96	29.32	0	22028	421995	0
21390	4532	11850	7112	60.02	2.88	31.93	0	22028	422017	0
27899	4550	11898	7147	60.07	2.95	28.70	0	22028	396153	0
31040	4512	12001	7230	60.24	2.88	17.03	0	22028	414958	0
1098	4609	11959	7125	59.58	2.88	23.10	0	22028	399433	0
32035	4706	11847	6901	58.25	2.87	33.07	0	22028	405105	0
90	4513	11658	6982	59.89	2.94	29.32	0	22028	419270	0
33	4795	11873	6822	57.46	2.82	28.45	0	22028	415239	0
871	4566	11876	7102	59.80	2.88	32.20	0	22028	406717	0
671	4588	11927	7128	59.76	2.92	23.90	0	22028	409033	0
1394	4471	11801	7171	60.77	2.89	28.92	0	22028	409468	0
543	4708	11896	6935	58.30	2.88	27.94	0	22028	406118	0
8888	4593	11818	7019	59.39	2.85	25.74	0	22028	413363	0
1176	4605	11810	6921	58.60	2.89	23.06	0	22028	425391	0
9761	4558	11793	7067	59.93	2.92	27.12	0	22028	417049	0
