Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	6510	13613	6817	50.08	3.32	33.91	445629	0
2000	6491	13600	6845	50.33	3.35	34.28	442894	0
890	6547	13571	6749	49.73	3.36	35.02	449265	0
50	6498	13577	6815	50.20	3.37	29.28	441457	0
150	6527	13689	6895	50.37	3.38	28.51	434703	0
2035	6510	13553	6775	49.99	3.23	29.62	436381	0
98	6573	13593	6760	49.73	3.37	32.78	447331	0
250	6586	13627	6761	49.61	3.27	30.01	451902	0
11040	6719	13642	6662	48.83	3.25	36.43	442092	0
17899	6483	13498	6735	49.90	3.28	29.90	442064	0
12000	6586	13540	6682	49.35	3.30	33.83	442708	0
11390	6452	13615	6901	50.69	3.42	30.15	449671	0
7899	6630	13681	6782	49.57	3.38	31.82	442529	0
12035	6619	13522	6631	49.04	3.28	33.34	443004	0
21390	6512	13538	6759	49.93	3.28	26.11	444015	0
33	6641	13279	6369	47.96	3.25	29.56	422948	0
22035	6631	13551	6654	49.10	3.24	30.62	437558	0
31040	6612	13540	6660	49.19	3.34	31.64	435024	0
27899	6507	13591	6819	50.17	3.34	31.32	451309	0
22000	6576	13560	6716	49.53	3.35	31.34	444330	0
871	6525	13587	6788	49.96	3.28	27.63	441323	0
32035	6515	13615	6830	50.17	3.32	29.07	450301	0
90	6508	13568	6786	50.01	3.30	31.88	436908	0
543	6511	13529	6753	49.91	3.25	27.92	431776	0
8888	6571	13566	6718	49.52	3.35	29.65	443397	0
1394	6620	13502	6595	48.84	3.26	29.23	442938	0
9761	6592	13533	6660	49.21	3.29	34.98	446229	0
1098	6499	13677	6913	50.54	3.34	30.79	451412	0
1176	6501	13671	6895	50.44	3.31	32.21	442734	0
671	6534	13468	6672	49.54	3.26	30.87	437214	0
