Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	6096	15292	9019	58.98	3.72	39.10	409288	0
2035	6139	15250	8920	58.49	3.64	39.09	403713	0
98	6050	15299	9064	59.25	3.74	36.73	412097	0
50	5974	15282	9125	59.71	3.70	34.43	419759	0
890	6009	15437	9246	59.90	3.77	31.75	415220	0
250	6125	15346	9047	58.95	3.59	34.70	408142	0
150	6059	15339	9094	59.29	3.66	32.48	416647	0
2000	6265	15353	8911	58.04	3.78	42.29	418559	0
7899	6116	15258	8948	58.64	3.65	34.30	408615	0
21390	6168	15304	8958	58.53	3.74	39.44	414288	0
17899	6120	15302	9000	58.82	3.65	41.75	413230	0
11040	6123	15195	8885	58.47	3.70	36.44	418163	0
12000	6013	15258	9077	59.49	3.64	36.96	423072	0
11390	6100	15322	9046	59.04	3.71	41.89	421320	0
12035	6044	15329	9117	59.48	3.76	39.46	420737	0
22000	6117	15365	9063	58.98	3.69	38.02	421240	0
871	6130	15200	8890	58.49	3.74	40.65	414859	0
32035	6070	15264	9023	59.11	3.66	32.94	409950	0
31040	6186	15256	8901	58.34	3.79	39.60	416176	0
27899	6068	15273	9029	59.12	3.71	36.03	419114	0
33	6158	15358	9021	58.74	3.74	34.81	421664	0
22035	6110	15192	8894	58.54	3.71	37.04	430549	0
1098	6081	15303	9053	59.16	3.63	36.85	410484	0
8888	6123	15254	8924	58.50	3.73	30.06	411717	0
543	6134	15281	8971	58.71	3.65	35.86	416174	0
90	6229	15264	8848	57.97	3.81	43.39	412506	0
1394	6156	15318	8989	58.68	3.69	40.25	408162	0
1176	6113	15318	9033	58.97	3.84	41.80	422716	0
9761	6079	15329	9075	59.20	3.72	37.84	416096	0
671	6174	15375	9014	58.63	3.72	41.49	425712	0
