Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	1517	3992	2421	60.65	2.62	13.74	0	18045	151184	0
150	1513	3999	2433	60.84	2.63	11.47	0	18045	149337	0
1	1513	3981	2416	60.69	2.63	13.76	0	18045	152204	0
250	1525	3979	2401	60.34	2.64	10.81	0	18045	149681	0
98	1516	3980	2411	60.58	2.63	14.63	0	18045	152711	0
890	1517	3997	2427	60.72	2.66	11.27	0	18045	151385	0
2000	1519	3980	2403	60.38	2.64	14.64	0	18045	151598	0
12000	1512	3986	2423	60.79	2.66	9.17	0	18045	152018	0
11040	1517	3987	2416	60.60	2.62	10.37	0	18045	151662	0
2035	1528	3988	2406	60.33	2.64	13.88	0	18045	152245	0
17899	1516	3976	2406	60.51	2.61	12.16	0	18045	152070	0
7899	1521	3981	2406	60.44	2.60	10.10	0	18045	151717	0
11390	1533	3965	2378	59.97	2.60	16.89	0	18045	154397	0
12035	1537	3983	2392	60.06	2.65	12.49	0	18045	154067	0
22035	1527	3976	2395	60.24	2.64	14.05	0	18045	155585	0
871	1511	3989	2425	60.79	2.64	14.75	0	18045	152064	0
22000	1518	3973	2402	60.46	2.62	19.61	0	18045	152685	0
27899	1530	3981	2399	60.26	2.65	9.37	0	18045	156371	0
31040	1529	3984	2402	60.29	2.62	14.28	0	18045	151723	0
21390	1520	3999	2428	60.72	2.64	8.98	0	18045	152985	0
32035	1530	3982	2400	60.27	2.64	12.62	0	18045	152582	0
33	1518	3979	2408	60.52	2.61	9.65	0	18045	153207	0
1176	1537	3986	2396	60.11	2.62	11.60	0	18045	151358	0
90	1527	3988	2409	60.41	2.64	12.58	0	18045	152478	0
1098	1519	3977	2404	60.45	2.61	12.54	0	18045	151269	0
9761	1524	3993	2416	60.51	2.63	12.29	0	18045	154460	0
1394	1546	3970	2373	59.77	2.67	17.25	0	18045	151524	0
543	1531	3974	2392	60.19	2.64	13.43	0	18045	151297	0
671	1511	3988	2423	60.76	2.63	10.21	0	18045	150418	0
8888	1524	3996	2415	60.44	2.64	9.70	0	18045	152342	0
