Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	2891	7627	4554	59.71	3.54	32.09	200960	0
150	2932	7636	4511	59.08	3.52	27.66	199891	0
50	2944	7624	4494	58.95	3.51	25.57	204435	0
98	2945	7633	4501	58.97	3.50	26.99	201633	0
250	2871	7601	4536	59.68	3.44	25.96	204847	0
11040	2963	7607	4450	58.50	3.54	36.02	199099	0
2000	2949	7613	4477	58.81	3.54	31.13	200901	0
7899	2938	7640	4514	59.08	3.49	22.87	200806	0
2035	2950	7634	4488	58.79	3.55	29.33	196770	0
890	2904	7635	4546	59.54	3.51	28.89	200431	0
12000	2937	7632	4511	59.11	3.55	29.17	198040	0
11390	2931	7594	4471	58.88	3.55	25.56	202626	0
31040	2944	7588	4439	58.50	3.53	23.96	199931	0
27899	2962	7603	4462	58.69	3.56	25.34	200494	0
21390	2906	7651	4563	59.64	3.68	36.01	203546	0
12035	2889	7586	4513	59.49	3.46	25.71	199415	0
17899	2933	7632	4516	59.17	3.63	31.28	202982	0
22000	2951	7643	4514	59.06	3.58	34.26	203773	0
22035	2922	7611	4521	59.40	3.60	21.07	200822	0
32035	2952	7641	4491	58.78	3.57	36.34	198653	0
543	2978	7626	4470	58.62	3.54	32.63	203989	0
33	2919	7599	4500	59.22	3.49	19.30	200035	0
871	2903	7631	4533	59.40	3.52	29.17	200838	0
1176	2944	7597	4467	58.80	3.50	27.19	201041	0
90	2943	7636	4507	59.02	3.48	21.47	195685	0
1098	2953	7592	4442	58.51	3.52	26.68	199513	0
8888	2907	7555	4465	59.10	3.63	36.84	199056	0
1394	2952	7624	4480	58.76	3.62	24.65	201587	0
671	2929	7600	4476	58.89	3.50	38.58	199382	0
9761	2934	7643	4520	59.14	3.50	30.12	200213	0
