Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	3245	5664	2326	41.07	4.66	93.30	0	0	986266	0
50	3262	5912	2552	43.17	5.06	108.33	0	0	969341	0
1	3490	6006	2437	40.58	4.83	153.23	0	0	1000300	0
2000	3561	6015	2373	39.45	4.16	66.65	0	0	939232	0
11040	3537	6055	2429	40.12	4.98	92.28	0	0	975191	0
890	3250	5811	2450	42.16	4.54	132.59	0	0	983330	0
7899	3278	5825	2466	42.33	4.94	96.90	0	0	979728	0
250	3310	5797	2391	41.25	4.48	101.85	0	0	993648	0
2035	3184	5550	2289	41.24	5.02	91.33	0	0	1003407	0
150	3456	5989	2451	40.93	5.05	234.18	0	0	997405	0
11390	3358	5811	2346	40.37	4.89	128.54	0	0	976112	0
17899	3249	5628	2308	41.01	4.69	117.66	0	0	969657	0
12035	3392	5915	2448	41.39	4.51	138.77	0	0	985562	0
21390	3366	5803	2357	40.62	4.63	128.13	0	0	995310	0
22000	3454	6088	2546	41.82	4.69	138.88	0	0	979275	0
12000	3380	5669	2203	38.86	4.69	109.39	0	0	969938	0
22035	3492	5959	2383	39.99	4.46	92.93	0	0	973305	0
27899	2921	5437	2449	45.04	4.85	127.22	0	0	991080	0
31040	3334	5843	2424	41.49	4.42	106.72	0	0	979603	0
33	3516	6011	2399	39.91	4.90	115.43	0	0	990025	0
90	3492	5921	2362	39.89	4.60	119.45	0	0	976471	0
871	3499	5984	2398	40.07	4.75	114.02	0	0	977272	0
32035	3329	5767	2353	40.80	4.44	163.49	0	0	986838	0
1098	3273	5730	2359	41.17	4.81	151.93	0	0	991134	0
543	3514	6001	2374	39.56	4.68	134.82	0	0	955987	0
9761	3099	5686	2500	43.97	4.76	147.26	0	0	957219	0
671	3527	5995	2382	39.73	4.55	127.41	0	0	978850	0
1176	3523	6047	2437	40.30	5.18	179.41	0	0	980301	0
1394	3311	5917	2525	42.67	5.28	142.53	0	0	981547	0
8888	3363	5788	2339	40.41	4.71	92.03	0	0	994149	0
