Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	2070	3447	1320	38.29	4.68	343.86	0	0	916266	0
1	3539	5086	1459	28.69	4.41	368.20	0	0	952301	0
98	3356	4750	1338	28.17	3.86	245.42	0	0	947343	0
2000	2727	4166	1346	32.31	4.33	417.51	0	0	959028	0
150	2434	3914	1370	35.00	4.08	205.06	0	0	913723	0
890	2889	4423	1443	32.62	3.41	287.93	0	0	984727	0
250	3265	4808	1451	30.18	6.56	358.72	0	0	950444	0
2035	3290	4814	1433	29.77	3.31	262.37	0	0	978126	0
7899	2212	3747	1447	38.62	3.74	210.21	0	0	985890	0
11040	3182	4754	1492	31.38	4.21	202.53	0	0	977589	0
11390	2619	3982	1307	32.82	3.76	113.26	0	0	851767	0
12000	2378	4011	1546	38.54	5.46	926.29	0	0	969405	0
17899	2551	3959	1326	33.49	4.03	327.40	0	0	962584	0
22035	1796	3219	1403	43.58	5.69	549.03	0	0	994601	0
12035	2739	4062	1317	32.42	3.28	133.29	0	0	982971	0
21390	3211	4663	1364	29.25	3.83	218.65	0	0	997762	0
22000	2306	3508	1151	32.81	3.43	169.67	0	0	975189	0
32035	3248	4674	1344	28.75	2.71	122.93	0	0	922403	0
27899	2842	4371	1441	32.97	3.33	73.18	0	0	947255	0
33	3107	4515	1334	29.55	4.05	219.73	0	0	946524	0
1098	2464	3911	1350	34.52	4.00	227.91	0	0	965029	0
31040	3603	5158	1460	28.31	4.25	281.96	0	0	986961	0
90	3577	5107	1428	27.96	4.48	286.56	0	0	979317	0
871	2660	4160	1407	33.82	4.61	758.53	0	0	978762	0
543	2389	3902	1398	35.83	3.48	228.31	0	0	967049	0
8888	3210	4785	1486	31.06	4.33	246.95	0	0	912303	0
1394	2571	4083	1420	34.78	4.29	204.80	0	0	956485	0
1176	3398	4855	1359	27.99	3.07	180.28	0	0	966886	0
9761	2825	4317	1409	32.64	3.64	360.22	0	0	981398	0
671	2077	3362	1235	36.73	3.26	147.42	0	0	948858	0
