Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	2552	8438	5774	68.43	4.35	78.41	0	0	513229	0
50	2527	8396	5754	68.53	4.56	94.89	0	0	519989	0
98	2600	8220	5516	67.10	4.38	104.77	0	0	535665	0
250	2592	8426	5731	68.02	4.23	66.48	0	0	509741	0
11040	2487	8358	5768	69.01	4.17	57.72	0	0	512231	0
2035	2558	8360	5713	68.34	4.19	67.95	0	0	522988	0
150	2646	8425	5647	67.03	4.08	66.90	0	0	518152	0
2000	2582	8408	5702	67.82	4.49	88.69	0	0	519164	0
890	2509	8368	5747	68.68	4.53	78.83	0	0	525457	0
7899	2600	8342	5640	67.61	4.36	83.37	0	0	522966	0
22035	2515	8326	5689	68.33	4.22	77.23	0	0	502932	0
12035	2536	8421	5787	68.72	4.06	80.35	0	0	516653	0
12000	2494	8424	5836	69.28	4.21	70.00	0	0	511189	0
22000	2544	8358	5701	68.21	4.48	75.76	0	0	517522	0
17899	2532	8389	5751	68.55	4.25	76.10	0	0	522560	0
11390	2660	8304	5529	66.58	4.37	84.56	0	0	545695	0
21390	2479	8395	5799	69.08	4.28	75.17	0	0	534518	0
871	2591	8287	5572	67.24	4.45	91.61	0	0	515360	0
32035	2526	8339	5705	68.41	4.44	95.24	0	0	519106	0
90	2482	8412	5805	69.01	4.33	67.46	0	0	508355	0
1098	2569	8393	5706	67.99	4.35	72.10	0	0	518224	0
31040	2508	8369	5744	68.63	4.20	87.78	0	0	523624	0
27899	2510	8351	5735	68.67	4.09	56.17	0	0	532711	0
33	2661	8296	5554	66.95	4.54	87.71	0	0	530054	0
9761	2617	8280	5557	67.11	4.24	70.95	0	0	511872	0
1176	2655	8245	5475	66.40	4.31	72.70	0	0	518188	0
671	2536	8390	5756	68.61	4.08	64.18	0	0	525102	0
8888	2681	8253	5467	66.24	4.41	81.59	0	0	542837	0
1394	2499	8406	5815	69.18	4.49	77.98	0	0	528021	0
543	2576	8190	5510	67.28	4.45	73.41	0	0	530786	0
