Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	2170	2837	610	21.50	6.09	183.40	0	0	657813	0
98	1557	2166	557	25.72	2.61	27.06	0	0	634553	0
50	1752	2404	599	24.92	3.65	75.52	0	0	651615	0
2000	2320	2940	555	18.88	4.18	47.16	0	0	641180	0
150	1717	2360	584	24.75	3.11	34.55	0	0	660409	0
250	2122	2816	642	22.80	5.91	78.68	0	0	661455	0
890	2112	2742	569	20.75	5.10	221.64	0	0	656242	0
2035	2127	2758	576	20.88	3.56	99.43	0	0	662694	0
12035	1769	2410	582	24.15	3.55	34.19	0	0	647204	0
21390	1991	2632	590	22.42	4.49	95.53	0	0	647737	0
17899	2101	2776	621	22.37	4.08	75.47	0	0	644740	0
7899	2128	2784	600	21.55	5.55	117.97	0	0	661456	0
11040	1912	2605	639	24.53	5.30	163.30	0	0	637554	0
12000	1749	2366	556	23.50	2.96	31.90	0	0	664045	0
11390	1767	2377	553	23.26	5.46	52.89	0	0	661385	0
22035	1928	2582	600	23.24	4.40	314.61	0	0	641162	0
31040	2133	2809	627	22.32	5.28	45.03	0	0	651189	0
33	2094	2780	633	22.77	5.14	79.31	0	0	648377	0
32035	2109	2812	646	22.97	5.62	92.73	0	0	653483	0
22000	1734	2375	580	24.42	6.34	364.85	0	0	667605	0
27899	1547	2163	562	25.98	3.74	68.80	0	0	679343	0
871	1950	2618	612	23.38	6.11	109.93	0	0	667058	0
1098	2321	2983	609	20.42	4.22	84.70	0	0	632331	0
1394	1737	2379	589	24.76	4.76	117.02	0	0	624677	0
8888	2305	2979	620	20.81	6.62	254.30	0	0	655794	0
9761	1736	2396	598	24.96	4.41	71.07	0	0	671565	0
543	1743	2401	604	25.16	4.87	249.42	0	0	651407	0
90	2094	2738	581	21.22	3.10	88.09	0	0	663769	0
1176	1739	2385	590	24.74	5.56	262.64	0	0	671538	0
671	1791	2412	567	23.51	4.17	32.13	0	0	654455	0
