Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	1370	3987	2590	64.96	4.30	57.72	0	0	342116	0
250	1353	3963	2573	64.93	4.47	63.58	0	0	349394	0
50	1319	3953	2606	65.92	4.54	54.51	0	0	340687	0
98	1336	3984	2617	65.69	4.46	63.50	0	0	343914	0
2035	1322	3981	2631	66.09	4.60	71.47	0	0	344383	0
150	1323	3999	2648	66.22	4.74	67.07	0	0	343672	0
2000	1336	3965	2581	65.09	4.32	48.71	0	0	346881	0
890	1379	3946	2534	64.22	4.34	69.13	0	0	354371	0
12035	1345	3975	2602	65.46	4.48	60.67	0	0	345038	0
12000	1398	3966	2532	63.84	4.24	46.12	0	0	347309	0
11040	1354	3955	2567	64.91	4.29	54.81	0	0	349272	0
11390	1337	3955	2585	65.36	4.24	68.22	0	0	340823	0
21390	1364	3976	2585	65.02	4.13	49.00	0	0	351378	0
17899	1342	3934	2558	65.02	4.35	67.34	0	0	350582	0
7899	1350	3928	2553	64.99	4.14	63.24	0	0	355631	0
22035	1342	3942	2572	65.25	4.15	65.87	0	0	342077	0
871	1303	3926	2587	65.89	4.34	60.44	0	0	342382	0
32035	1326	4002	2646	66.12	4.13	52.71	0	0	340534	0
31040	1348	3979	2603	65.42	4.52	62.10	0	0	351413	0
22000	1349	3962	2574	64.97	4.74	62.16	0	0	356623	0
33	1367	3979	2586	64.99	4.27	66.91	0	0	351389	0
27899	1375	3899	2492	63.91	5.00	95.98	0	0	363187	0
1394	1364	3979	2587	65.02	4.58	55.41	0	0	347802	0
9761	1328	3998	2636	65.93	4.69	87.95	0	0	338426	0
1176	1377	3953	2546	64.41	4.47	80.91	0	0	354406	0
8888	1341	3952	2580	65.28	4.22	49.28	0	0	346694	0
1098	1332	3950	2582	65.37	4.52	49.85	0	0	350605	0
90	1336	3967	2607	65.72	4.57	70.83	0	0	343501	0
543	1336	3974	2601	65.45	4.50	44.24	0	0	344960	0
671	1337	3975	2609	65.64	4.36	49.93	0	0	335173	0
