Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	1601	3466	1841	53.12	5.01	77.51	0	0	501863	0
98	1551	3425	1851	54.04	4.43	51.82	0	0	486703	0
890	1532	3480	1927	55.37	5.31	56.23	0	0	496653	0
2035	1578	3504	1903	54.31	4.93	63.06	0	0	496880	0
150	1542	3453	1886	54.62	4.96	48.24	0	0	505035	0
250	1223	3110	1866	60.00	4.71	41.20	0	0	501895	0
50	1577	3431	1830	53.34	4.54	64.07	0	0	505718	0
2000	1545	3449	1878	54.45	5.62	82.84	0	0	509132	0
11390	1528	3462	1907	55.08	5.12	56.25	0	0	496856	0
21390	1553	3479	1905	54.76	5.32	48.42	0	0	496137	0
12000	1586	3436	1830	53.26	4.85	45.43	0	0	506308	0
12035	1501	3448	1924	55.80	5.41	68.21	0	0	506697	0
11040	1537	3472	1912	55.07	5.00	97.27	0	0	499913	0
7899	1573	3457	1861	53.83	4.86	58.86	0	0	504533	0
17899	1546	3385	1812	53.53	5.38	83.85	0	0	531211	0
871	1520	3456	1915	55.41	5.00	75.93	0	0	493541	0
22035	1586	3504	1890	53.94	5.05	47.44	0	0	504940	0
31040	1527	3492	1944	55.67	4.93	66.74	0	0	501805	0
32035	1537	3463	1906	55.04	5.18	73.89	0	0	505613	0
27899	1512	3373	1840	54.55	4.96	90.92	0	0	504737	0
33	1343	3303	1938	58.67	5.12	74.18	0	0	504429	0
22000	1552	3424	1853	54.12	5.01	65.04	0	0	528130	0
8888	1557	3526	1950	55.30	5.16	50.43	0	0	480177	0
1098	1501	3517	1995	56.72	5.43	72.07	0	0	493856	0
1176	1456	3479	2001	57.52	5.27	52.76	0	0	495456	0
9761	1548	3465	1899	54.81	4.89	72.26	0	0	504206	0
90	1526	3467	1915	55.24	4.97	46.48	0	0	506679	0
543	1588	3465	1854	53.51	5.54	77.87	0	0	508317	0
1394	1513	3374	1840	54.53	4.99	56.73	0	0	520526	0
671	1591	3514	1906	54.24	5.12	65.05	0	0	502281	0
