Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	5214	9073	3627	39.98	3.50	30.81	289785	0
98	5239	9023	3541	39.24	3.55	32.52	297545	0
50	5220	9042	3580	39.59	3.48	27.52	297090	0
150	5252	9020	3528	39.11	3.50	31.42	289732	0
890	5235	9065	3594	39.65	3.52	26.91	293463	0
2000	5200	9066	3626	40.00	3.55	32.99	292890	0
11040	5174	9020	3608	40.00	3.48	28.24	291785	0
2035	5041	8830	3548	40.18	3.50	29.97	290990	0
7899	5178	9030	3614	40.02	3.50	30.37	292263	0
250	5177	9006	3588	39.84	3.48	29.37	294031	0
12035	5243	9069	3585	39.53	3.54	28.43	281263	0
11390	5172	9039	3627	40.13	3.53	27.93	297451	0
22000	5219	8973	3516	39.18	3.41	29.01	291544	0
21390	5209	9029	3576	39.61	3.53	29.46	294816	0
12000	5182	9036	3610	39.95	3.45	26.03	299933	0
17899	5200	9002	3570	39.66	3.41	27.47	295124	0
22035	5179	9055	3638	40.18	3.50	31.07	295315	0
871	5168	9049	3642	40.25	3.51	30.65	292605	0
31040	5211	9014	3560	39.49	3.45	27.25	293240	0
27899	5285	9054	3526	38.94	3.54	33.54	292399	0
32035	5216	9028	3576	39.61	3.47	27.08	294289	0
90	5199	8975	3538	39.42	3.47	32.76	299959	0
33	5178	9059	3644	40.23	3.48	29.16	294940	0
1098	5214	8997	3545	39.40	3.39	23.78	295249	0
543	5202	9049	3613	39.93	3.56	31.40	291593	0
1176	5028	8818	3551	40.27	3.49	27.79	293837	0
8888	5217	9022	3561	39.47	3.49	28.08	289844	0
1394	5018	8830	3577	40.51	3.52	28.91	292537	0
9761	5179	9023	3601	39.91	3.42	23.60	291923	0
671	5187	9015	3593	39.86	3.48	30.18	292754	0
