Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	4734	10136	5192	51.22	3.51	24.81	342648	0
98	4637	10150	5312	52.33	3.56	26.37	340074	0
50	4651	10095	5228	51.79	3.45	30.17	346061	0
250	4615	10155	5348	52.66	3.42	26.41	337836	0
7899	4599	10104	5299	52.44	3.56	29.35	343022	0
2035	4652	10076	5225	51.86	3.53	28.65	340237	0
890	4668	10084	5209	51.66	3.46	28.54	336365	0
150	4672	10166	5293	52.07	3.40	20.98	340774	0
11040	4646	10111	5236	51.79	3.50	31.29	341845	0
2000	4678	10076	5171	51.32	3.50	25.88	341380	0
12000	4657	9991	5123	51.28	3.40	32.57	334064	0
22000	4719	10173	5249	51.60	3.45	26.37	337185	0
11390	4671	10179	5304	52.11	3.55	26.45	338673	0
17899	4640	10148	5307	52.30	3.56	29.26	337601	0
12035	4703	10052	5138	51.11	3.43	26.14	332500	0
22035	4653	10054	5186	51.58	3.40	38.14	336916	0
21390	4666	10123	5248	51.84	3.43	26.13	339145	0
32035	4669	10082	5194	51.52	3.45	31.06	340241	0
90	4777	10128	5146	50.81	3.41	30.43	339727	0
31040	4616	10116	5289	52.28	3.55	28.33	340207	0
871	4687	10083	5173	51.30	3.49	29.50	334506	0
27899	4676	10127	5238	51.72	3.46	29.14	351581	0
33	4694	10137	5243	51.72	3.56	30.92	336917	0
1098	4650	10081	5223	51.81	3.44	32.70	346559	0
1176	4685	10191	5304	52.05	3.46	31.74	328671	0
543	4696	10132	5228	51.60	3.43	31.13	341077	0
9761	4749	10119	5167	51.06	3.53	32.06	344593	0
671	4625	10096	5261	52.11	3.52	31.52	339966	0
1394	4639	10063	5224	51.91	3.50	29.65	339466	0
8888	4694	10201	5306	52.01	3.48	31.67	339987	0
