Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	3133	4934	1706	34.58	3.05	452.03	0	5994	826938	0
98	3323	5300	1879	35.45	4.09	590.19	0	5994	864112	0
150	3399	5066	1558	30.75	2.34	109.14	0	5994	834509	0
1	3479	5240	1654	31.56	3.17	124.83	0	5994	850568	0
250	3128	4938	1709	34.61	3.40	158.21	0	5994	873709	0
7899	3618	5452	1736	31.84	2.93	162.10	0	5994	783752	0
2000	3088	4686	1536	32.78	3.38	236.94	0	5994	821978	0
12000	3243	5149	1805	35.06	4.00	524.61	0	5994	807241	0
890	3886	5507	1532	27.82	4.19	489.19	0	5994	864824	0
11390	3176	4945	1672	33.81	3.35	237.75	0	5994	817594	0
2035	3131	4907	1678	34.20	3.97	308.17	0	5994	839887	0
11040	3117	4869	1643	33.74	4.02	245.97	0	5994	865088	0
17899	3317	5078	1666	32.81	3.37	427.91	0	5994	765542	0
27899	3961	5690	1624	28.54	3.42	357.88	0	5994	840953	0
12035	3789	5627	1724	30.64	3.47	180.93	0	5994	818311	0
22000	3621	5537	1796	32.44	4.96	641.89	0	5994	835655	0
21390	3370	5223	1763	33.75	4.06	274.76	0	5994	860669	0
31040	3806	5643	1742	30.87	2.83	81.85	0	5994	855618	0
22035	3043	4922	1777	36.10	3.28	268.82	0	5994	842345	0
1176	3143	4957	1718	34.66	3.30	411.41	0	5994	796802	0
1098	3402	5153	1658	32.18	2.64	76.57	0	5994	823686	0
871	3307	5147	1755	34.10	3.85	482.07	0	5994	820410	0
32035	3118	4927	1716	34.83	3.53	297.48	0	5994	806484	0
543	3247	5084	1708	33.60	4.46	825.64	0	5994	811042	0
33	2908	4751	1737	36.56	3.50	420.75	0	5994	847239	0
90	3568	5345	1693	31.67	3.93	398.27	0	5994	883904	0
8888	3304	5155	1747	33.89	4.40	808.43	0	5994	784490	0
671	2920	4754	1727	36.33	4.60	242.50	0	5994	880598	0
1394	3247	5149	1800	34.96	4.14	311.42	0	5994	846471	0
9761	2972	4680	1588	33.93	2.61	34.84	0	5994	859321	0
