Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
150	2761	7715	4843	62.77	2.80	17.13	0	22018	259787	0
98	2818	7744	4817	62.20	2.80	19.01	0	22018	258042	0
1	2711	7721	4898	63.44	2.97	32.56	0	22018	264300	0
50	2768	7732	4839	62.58	2.81	25.06	0	22018	267562	0
250	2795	7709	4791	62.15	2.85	24.71	0	22018	270081	0
7899	2780	7776	4850	62.37	2.76	16.88	0	22018	246893	0
11040	2804	7794	4881	62.63	2.78	16.53	0	22018	249942	0
2035	2803	7894	4936	62.53	2.76	21.81	0	22018	256768	0
12000	2738	7758	4911	63.30	2.77	19.62	0	22018	260729	0
11390	2814	7837	4867	62.10	2.81	20.09	0	22018	258962	0
2000	2769	7742	4868	62.88	2.83	24.35	0	22018	268698	0
890	2832	7694	4749	61.72	2.83	28.56	0	22018	267812	0
27899	2780	7787	4859	62.40	2.76	20.18	0	22018	239581	0
31040	2803	7894	4938	62.55	2.78	21.08	0	22018	250514	0
12035	2791	7809	4912	62.90	2.86	20.30	0	22018	238819	0
21390	2825	7769	4833	62.21	2.96	26.82	0	22018	261297	0
17899	2838	7808	4863	62.28	2.85	20.51	0	22018	246641	0
22000	2735	7761	4913	63.30	2.80	11.06	0	22018	251303	0
22035	2865	7691	4714	61.29	2.92	33.99	0	22018	263583	0
1098	2795	7854	4948	63.00	2.82	14.62	0	22018	241354	0
32035	2761	7827	4954	63.29	2.82	21.00	0	22018	247212	0
90	2765	7751	4868	62.80	2.75	18.27	0	22018	251844	0
1176	2766	7739	4862	62.82	2.94	28.60	0	22018	257349	0
543	2721	7697	4863	63.18	2.79	17.76	0	22018	265117	0
871	2846	7874	4876	61.93	2.81	11.87	0	22018	259435	0
33	2857	7775	4784	61.53	2.79	17.16	0	22018	260867	0
8888	2726	7798	4964	63.66	2.78	17.87	0	22018	245951	0
671	2881	7799	4804	61.60	2.78	13.09	0	22018	250454	0
1394	2738	7785	4940	63.46	2.79	13.80	0	22018	254032	0
9761	2847	7865	4859	61.78	2.81	19.50	0	22018	260880	0
