Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	3425	6846	3322	48.52	3.65	65.55	0	13993	577379	0
1	3292	6653	3256	48.94	3.69	64.75	0	13993	587561	0
150	3381	6702	3220	48.05	3.40	60.36	0	13993	573933	0
50	3417	6865	3351	48.81	3.60	57.86	0	13993	587768	0
250	3307	6554	3146	48.00	3.31	50.07	0	13993	585286	0
2000	3413	6515	2968	45.56	3.61	58.45	0	13993	571830	0
11390	3525	6835	3204	46.88	3.33	51.15	0	13993	587822	0
7899	3424	6840	3309	48.38	3.73	69.36	0	13993	579654	0
12000	3540	6842	3195	46.70	3.46	64.93	0	13993	580942	0
890	3354	6689	3234	48.35	3.55	60.15	0	13993	591872	0
11040	3366	6743	3274	48.55	3.47	55.38	0	13993	594715	0
2035	3382	6828	3346	49.00	3.84	81.93	0	13993	607116	0
22035	3475	6918	3339	48.27	3.58	50.93	0	13993	568107	0
31040	3470	6876	3293	47.89	3.65	55.18	0	13993	583634	0
12035	3487	6754	3163	46.83	3.53	58.20	0	13993	593850	0
21390	3367	6620	3144	47.49	3.75	61.73	0	13993	599021	0
27899	3384	6790	3289	48.44	3.48	52.56	0	13993	585881	0
17899	3632	6769	3028	44.73	3.52	58.38	0	13993	599191	0
22000	3075	6329	3129	49.44	3.22	40.36	0	13993	594635	0
33	3559	6878	3207	46.63	3.54	49.36	0	13993	584277	0
1098	3577	6563	2855	43.50	3.42	43.55	0	13993	593704	0
32035	3314	6716	3298	49.11	3.54	42.13	0	13993	587357	0
543	3489	6880	3282	47.70	3.41	48.95	0	13993	575331	0
90	3303	6745	3337	49.47	3.74	54.99	0	13993	587050	0
1176	3476	6869	3283	47.79	3.60	59.32	0	13993	594866	0
871	3459	6751	3171	46.97	3.32	52.03	0	13993	610250	0
1394	3372	6832	3344	48.95	3.52	59.97	0	13993	578203	0
9761	3470	6823	3246	47.57	3.58	45.49	0	13993	570117	0
8888	3447	6830	3273	47.92	3.51	46.18	0	13993	579422	0
671	3495	6763	3158	46.70	3.59	71.29	0	13993	593848	0
