Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	1363	3987	2589	64.94	6.09	75.51	0	0	375776	0
890	1323	3963	2604	65.71	6.41	71.34	0	0	368368	0
150	1339	4015	2635	65.63	6.53	66.78	0	0	375986	0
2035	1287	4017	2695	67.09	6.53	77.54	0	0	369551	0
2000	1319	3975	2621	65.94	6.27	66.03	0	0	374032	0
50	1323	3977	2606	65.53	6.50	86.03	0	0	374072	0
250	1346	3964	2580	65.09	6.19	71.29	0	0	382505	0
98	1356	3969	2572	64.80	6.47	106.75	0	0	386928	0
12000	1340	4027	2651	65.83	5.86	61.08	0	0	369547	0
11040	1324	4004	2643	66.01	6.36	90.77	0	0	372501	0
12035	1369	3948	2545	64.46	6.32	59.52	0	0	374652	0
21390	1317	4008	2653	66.19	5.72	77.00	0	0	366366	0
17899	1316	3976	2615	65.77	6.47	138.57	0	0	384543	0
7899	1326	3889	2527	64.98	6.07	73.15	0	0	383917	0
11390	1318	3949	2595	65.71	6.43	91.99	0	0	382702	0
31040	1385	4030	2603	64.59	6.34	106.17	0	0	365219	0
22000	1282	3989	2666	66.83	6.22	86.76	0	0	364638	0
27899	1340	3932	2557	65.03	5.88	89.02	0	0	382327	0
22035	1362	3997	2598	65.00	6.07	92.01	0	0	370988	0
32035	1376	3954	2539	64.21	6.20	76.93	0	0	381279	0
871	1375	3934	2524	64.16	6.16	71.38	0	0	383477	0
33	1368	3981	2570	64.56	6.49	75.06	0	0	383807	0
90	1282	3897	2572	66.00	6.32	91.55	0	0	372490	0
9761	1358	4046	2652	65.55	6.12	60.68	0	0	364546	0
8888	1326	4006	2636	65.80	6.13	84.55	0	0	371927	0
1176	1339	3989	2614	65.53	6.71	85.18	0	0	379968	0
1098	1428	4007	2540	63.39	6.36	64.26	0	0	372279	0
543	1355	3956	2565	64.84	6.01	78.91	0	0	381744	0
1394	1349	3921	2537	64.70	5.97	72.79	0	0	386768	0
671	1343	4008	2630	65.62	6.16	74.23	0	0	366691	0
