Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	1430	3855	2333	60.52	3.78	12.61	0	22028	182681	0
250	1450	3846	2307	59.98	3.76	13.80	0	22028	184810	0
890	1512	3849	2246	58.35	3.82	13.18	0	22028	184963	0
50	1542	3889	2257	58.04	3.76	14.26	0	22028	185955	0
2000	1442	3854	2319	60.17	3.77	14.34	0	22028	182847	0
98	1443	3861	2329	60.32	3.76	15.59	0	22028	183898	0
150	1512	3851	2247	58.35	3.77	11.06	0	22028	184240	0
11040	1530	3861	2239	57.99	3.76	20.79	0	22028	183514	0
12000	1554	3882	2238	57.65	3.76	14.98	0	22028	176331	0
2035	1466	3876	2318	59.80	3.84	10.67	0	22028	177356	0
7899	1508	3846	2250	58.50	3.73	14.56	0	22028	184929	0
11390	1523	3860	2249	58.26	3.78	10.72	0	22028	183236	0
17899	1441	3863	2330	60.32	3.85	13.15	0	22028	185912	0
12035	1452	3873	2329	60.13	3.78	19.25	0	22028	181731	0
22035	1448	3876	2339	60.35	3.76	10.34	0	22028	179752	0
22000	1524	3850	2233	58.00	3.76	11.26	0	22028	183287	0
31040	1442	3846	2312	60.11	3.75	15.74	0	22028	184042	0
21390	1511	3860	2259	58.52	3.76	10.48	0	22028	183423	0
27899	1435	3839	2313	60.25	3.74	14.10	0	22028	184769	0
871	1526	3861	2243	58.09	3.78	19.68	0	22028	182664	0
32035	1451	3872	2329	60.15	3.77	14.46	0	22028	183467	0
1176	1529	3886	2269	58.39	3.81	12.63	0	22028	179532	0
543	1437	3860	2336	60.52	3.77	13.45	0	22028	183650	0
9761	1469	3890	2332	59.95	3.77	10.75	0	22028	179986	0
33	1522	3852	2242	58.20	3.76	11.82	0	22028	183936	0
1098	1448	3848	2308	59.98	3.75	13.41	0	22028	183449	0
90	1451	3856	2313	59.98	3.78	12.06	0	22028	184061	0
1394	1442	3848	2314	60.14	3.76	15.00	0	22028	185398	0
671	1434	3860	2338	60.57	3.77	10.61	0	22028	181739	0
8888	1535	3863	2238	57.93	3.75	16.06	0	22028	181244	0
