Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	2038	2945	851	28.90	4.94	130.91	0	6022	501671	0
2000	2035	2980	889	29.83	4.47	113.48	0	6022	511826	0
1	2410	3287	822	25.01	4.15	123.35	0	6022	511201	0
250	2055	2990	890	29.77	3.89	68.98	0	6022	519388	0
890	1844	2731	831	30.43	4.50	92.64	0	6022	524394	0
150	1853	2755	842	30.56	3.54	50.44	0	6022	516306	0
50	1834	2751	864	31.41	4.78	97.60	0	6022	519586	0
7899	2224	3116	833	26.73	3.46	41.38	0	6022	505716	0
17899	1849	2787	884	31.72	5.08	126.90	0	6022	517155	0
2035	2220	3177	910	28.64	4.09	66.30	0	6022	507595	0
12000	2412	3361	894	26.60	4.42	84.33	0	6022	503153	0
11040	2040	3000	900	30.00	5.16	104.01	0	6022	520766	0
11390	2059	2967	852	28.72	4.35	86.69	0	6022	515787	0
12035	2422	3310	834	25.20	3.79	89.42	0	6022	516660	0
22035	2432	3290	811	24.65	4.60	108.70	0	6022	511230	0
22000	2260	3167	857	27.06	3.72	20.84	0	6022	506124	0
32035	2401	3307	848	25.64	3.62	66.66	0	6022	523189	0
27899	2396	3282	834	25.41	3.20	42.94	0	6022	514204	0
21390	2243	3155	857	27.16	4.76	146.20	0	6022	518223	0
31040	2075	2950	827	28.03	3.33	61.73	0	6022	526179	0
871	2432	3298	823	24.95	3.65	70.16	0	6022	527666	0
33	2239	3143	857	27.27	3.96	49.70	0	6022	516817	0
90	2235	3157	871	27.59	4.92	89.03	0	6022	516097	0
543	2002	2980	921	30.91	4.04	53.61	0	6022	494696	0
1098	2079	2975	850	28.57	4.86	153.61	0	6022	529643	0
1176	2018	2950	880	29.83	4.70	178.81	0	6022	498754	0
9761	2240	3177	891	28.05	4.20	71.96	0	6022	514840	0
1394	2046	2990	890	29.77	4.12	67.00	0	6022	511487	0
8888	2200	3063	806	26.31	3.31	52.42	0	6022	531270	0
671	2223	3056	775	25.36	2.66	21.28	0	6022	523978	0
