Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
150	4849	8392	3396	40.47	4.76	154.63	0	0	1314467	0
250	4962	8729	3616	41.43	4.81	189.35	0	0	1327552	0
50	4877	8415	3390	40.29	4.21	167.45	0	0	1302242	0
1	5204	8850	3481	39.33	5.85	384.00	0	0	1328557	0
98	4911	8516	3441	40.41	4.86	185.56	0	0	1351410	0
2035	5046	8675	3438	39.63	4.69	379.67	0	0	1340615	0
7899	4580	8270	3546	42.88	4.99	183.69	0	0	1329563	0
11040	4866	8475	3446	40.66	4.49	172.24	0	0	1345175	0
890	4963	8614	3485	40.46	4.34	133.46	0	0	1332873	0
2000	4720	8459	3587	42.40	5.00	244.83	0	0	1362901	0
12000	5231	8870	3498	39.44	4.97	257.57	0	0	1366993	0
11390	5154	8694	3367	38.73	4.28	164.25	0	0	1342464	0
22035	5035	8614	3450	40.05	5.31	274.69	0	0	1336390	0
27899	4851	8351	3329	39.86	4.92	178.88	0	0	1325040	0
21390	4662	8258	3449	41.77	5.41	265.92	0	0	1344404	0
31040	4837	8557	3535	41.31	4.50	131.60	0	0	1322387	0
22000	4486	8060	3398	42.16	5.63	297.82	0	0	1342668	0
17899	5010	8612	3434	39.87	5.46	319.55	0	0	1362894	0
12035	4783	8333	3391	40.69	4.81	163.70	0	0	1373069	0
33	5261	8705	3293	37.83	4.10	141.27	0	0	1337369	0
543	4815	8315	3336	40.12	4.87	387.76	0	0	1300443	0
90	4917	8435	3369	39.94	4.55	120.20	0	0	1341298	0
32035	4863	8441	3446	40.82	4.75	157.76	0	0	1329907	0
1098	4889	8481	3428	40.42	5.32	201.34	0	0	1326029	0
1176	5121	8767	3491	39.82	5.56	337.15	0	0	1315243	0
871	4949	8415	3317	39.42	5.30	163.91	0	0	1354927	0
8888	4619	8214	3441	41.89	4.77	192.15	0	0	1337854	0
1394	4821	8412	3434	40.82	4.71	128.14	0	0	1315310	0
9761	4887	8375	3329	39.75	4.67	317.75	0	0	1332211	0
671	4523	7959	3290	41.34	4.46	128.75	0	0	1327702	0
