Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
150	4174	12385	8047	64.97	4.21	90.87	0	0	794284	0
1	4431	12194	7590	62.24	4.29	90.16	0	0	832433	0
250	4308	12327	7847	63.66	4.31	93.42	0	0	834242	0
98	4213	12262	7888	64.33	4.43	103.37	0	0	821482	0
50	4325	11952	7452	62.35	4.52	90.86	0	0	828017	0
2000	4200	12355	7992	64.69	4.38	89.31	0	0	800092	0
2035	4171	12310	7978	64.81	4.09	90.01	0	0	796276	0
11040	4307	12410	7939	63.97	4.14	79.79	0	0	789123	0
12000	4163	12216	7906	64.72	4.27	84.13	0	0	802582	0
7899	4235	12493	8059	64.51	4.34	91.35	0	0	798361	0
890	4239	12181	7768	63.77	4.18	77.67	0	0	819694	0
11390	4310	12189	7713	63.28	4.26	102.54	0	0	811743	0
22000	4301	12270	7815	63.69	4.18	82.15	0	0	809790	0
12035	4341	12345	7833	63.45	4.50	95.31	0	0	809835	0
21390	4344	12318	7767	63.05	4.01	82.93	0	0	815055	0
22035	4271	12369	7925	64.07	4.26	87.45	0	0	808553	0
27899	4345	12469	7946	63.73	4.31	74.02	0	0	811736	0
31040	4272	12164	7698	63.29	4.30	89.61	0	0	824631	0
17899	4298	12310	7801	63.37	4.30	104.40	0	0	838160	0
871	4279	12416	7963	64.13	4.21	70.57	0	0	785717	0
90	4300	12234	7765	63.47	4.31	82.83	0	0	801524	0
1098	4210	12125	7731	63.76	4.48	93.55	0	0	784343	0
1176	4341	12245	7718	63.03	4.03	91.16	0	0	817576	0
32035	4298	12314	7858	63.81	4.09	81.95	0	0	827197	0
543	4434	12185	7614	62.49	4.40	82.21	0	0	819989	0
33	4238	12203	7794	63.87	4.24	93.03	0	0	834219	0
8888	4308	12327	7840	63.60	4.13	88.18	0	0	790562	0
1394	4130	12253	7962	64.98	4.27	81.14	0	0	802157	0
671	4252	12253	7837	63.96	4.30	92.68	0	0	811156	0
9761	4417	12310	7713	62.66	4.26	87.19	0	0	824222	0
