Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	4564	6754	2058	30.47	7.32	686.18	0	0	1186053	0
150	4591	6630	1823	27.50	5.22	357.26	0	0	1248724	0
250	4528	6792	2071	30.49	4.95	467.00	0	0	1305940	0
1	4075	6097	1948	31.95	4.78	375.38	0	0	1278587	0
98	4071	6305	2093	33.20	5.49	799.70	0	0	1271241	0
890	3758	5746	1915	33.33	3.23	186.71	0	0	1231315	0
2035	4317	6463	2018	31.22	5.97	557.10	0	0	1253383	0
2000	4076	6076	1880	30.94	4.73	280.07	0	0	1238892	0
11390	4332	6408	1953	30.48	4.51	290.57	0	0	1244310	0
7899	3560	5593	1904	34.04	3.74	519.09	0	0	1237029	0
11040	4111	6125	1934	31.58	5.51	647.12	0	0	1233047	0
12000	2821	4885	1984	40.61	4.81	691.57	0	0	1269432	0
22035	3848	5723	1840	32.15	6.25	575.09	0	0	1169613	0
31040	4525	6746	2098	31.10	5.00	312.25	0	0	1212280	0
22000	4234	6518	2163	33.19	5.17	461.85	0	0	1271366	0
21390	4532	6432	1776	27.61	3.88	772.31	0	0	1245914	0
12035	4021	6248	2078	33.26	6.22	555.57	0	0	1264074	0
17899	3983	6192	2075	33.51	5.47	416.61	0	0	1265673	0
27899	3746	5904	2038	34.52	4.51	371.55	0	0	1261174	0
871	4240	6274	1969	31.38	4.87	345.58	0	0	1175011	0
1098	4523	6605	1944	29.43	3.81	533.86	0	0	1212253	0
90	4075	6023	1845	30.63	4.91	541.25	0	0	1262214	0
32035	4474	6502	1911	29.39	4.96	365.95	0	0	1277672	0
543	4292	6406	1939	30.27	3.42	178.50	0	0	1249930	0
1176	4044	6327	2214	34.99	5.42	429.00	0	0	1294773	0
33	3878	5745	1787	31.11	3.80	374.52	0	0	1269240	0
1394	4021	6153	2028	32.96	5.68	391.97	0	0	1224062	0
8888	4472	6471	1818	28.09	5.35	415.72	0	0	1264123	0
9761	4075	6095	1905	31.26	4.48	375.35	0	0	1223543	0
671	3813	5946	2066	34.75	5.66	512.74	0	0	1265950	0
