Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	5073	11208	6034	53.84	5.29	183.20	0	0	929682	0
250	4975	11254	6162	54.75	5.19	132.61	0	0	935768	0
50	4966	11274	6201	55.00	5.08	133.81	0	0	949546	0
1	5063	11305	6118	54.12	5.28	141.47	0	0	939505	0
150	5033	11141	5990	53.77	5.36	156.30	0	0	950107	0
11390	5004	11330	6196	54.69	5.21	132.98	0	0	916109	0
2035	5133	11071	5806	52.44	5.41	166.74	0	0	940765	0
11040	5074	11138	5955	53.47	5.29	146.10	0	0	941762	0
12000	5068	11323	6151	54.32	5.07	131.55	0	0	929199	0
890	4971	11027	5939	53.86	5.17	159.17	0	0	965287	0
2000	5058	11137	5981	53.70	5.22	145.33	0	0	941590	0
7899	5103	11215	6036	53.82	4.69	116.06	0	0	954123	0
31040	5072	11252	6050	53.77	4.98	151.96	0	0	907978	0
21390	5017	11299	6161	54.53	4.91	124.83	0	0	918847	0
17899	5106	11222	5981	53.30	4.92	136.02	0	0	929426	0
22035	5017	11079	5926	53.49	5.28	129.85	0	0	929380	0
22000	5105	11170	5934	53.12	5.03	163.68	0	0	931451	0
12035	5074	11228	6028	53.69	5.14	155.71	0	0	954734	0
27899	4943	11162	6100	54.65	4.87	133.67	0	0	940730	0
90	5078	11110	5882	52.94	4.94	129.54	0	0	917045	0
1176	5053	11202	6000	53.56	5.50	154.27	0	0	921239	0
32035	5103	11258	6037	53.62	5.04	136.24	0	0	909678	0
543	5015	11299	6173	54.63	4.86	130.98	0	0	930054	0
33	5029	11183	6028	53.90	5.10	146.06	0	0	942916	0
1098	5202	11013	5675	51.53	5.13	162.40	0	0	944980	0
871	5226	11217	5882	52.44	5.21	121.50	0	0	944996	0
8888	4985	11150	6037	54.14	5.09	151.94	0	0	928518	0
671	5023	11258	6110	54.27	4.82	107.03	0	0	938306	0
1394	5127	11065	5797	52.39	4.92	152.54	0	0	943437	0
9761	5151	11168	5888	52.72	5.13	140.30	0	0	953699	0
