Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	3518	6702	3097	46.21	5.79	139.90	0	0	838538	0
50	3504	6744	3149	46.69	5.57	119.62	0	0	840806	0
98	3564	6638	2987	45.00	5.47	124.83	0	0	858418	0
890	3562	6790	3145	46.32	5.42	123.20	0	0	824048	0
150	3489	6622	3038	45.88	5.87	176.94	0	0	850035	0
7899	3527	6704	3077	45.90	5.47	122.29	0	0	842440	0
2035	3534	6797	3168	46.61	4.97	110.85	0	0	854867	0
11040	3363	6716	3261	48.56	5.69	152.94	0	0	857288	0
2000	3473	6783	3218	47.44	5.73	122.60	0	0	845846	0
250	3324	6454	3070	47.57	5.79	130.58	0	0	865851	0
21390	3474	6752	3182	47.13	5.38	120.89	0	0	821355	0
12000	3395	6560	3082	46.98	5.02	107.44	0	0	855605	0
11390	3542	6782	3150	46.45	6.14	142.77	0	0	842092	0
17899	3585	6750	3082	45.66	5.39	151.46	0	0	839238	0
22000	3535	6812	3189	46.81	5.39	135.38	0	0	846200	0
22035	3543	6743	3113	46.17	5.83	151.22	0	0	861927	0
12035	3506	6440	2880	44.72	5.59	135.20	0	0	872512	0
27899	3448	6930	3401	49.08	5.36	129.08	0	0	821131	0
32035	3540	6710	3083	45.95	5.31	108.77	0	0	837992	0
31040	3131	6402	3185	49.75	5.71	157.55	0	0	849263	0
871	3479	6740	3163	46.93	5.63	153.75	0	0	851936	0
90	3501	6751	3167	46.91	5.54	114.57	0	0	857766	0
33	3527	6813	3202	47.00	5.59	131.40	0	0	852647	0
1098	3341	6567	3138	47.78	5.61	156.66	0	0	853402	0
9761	3401	6638	3165	47.68	5.45	139.64	0	0	834558	0
671	3471	6884	3318	48.20	5.37	112.90	0	0	831287	0
1176	3601	6770	3080	45.49	5.59	118.50	0	0	837099	0
543	3415	6549	3071	46.89	5.48	107.75	0	0	850892	0
8888	3088	6226	3087	49.58	5.70	131.31	0	0	858285	0
1394	3499	6594	3013	45.69	6.75	199.40	0	0	873630	0
