Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
50	3023	7225	4087	56.57	3.99	29.92	263147	0
1	3058	7250	4071	56.15	3.98	30.75	262417	0
150	3034	7270	4114	56.59	3.89	36.96	260023	0
98	3047	7220	4049	56.08	3.89	36.58	263921	0
250	3089	7265	4052	55.77	3.90	30.54	267751	0
7899	2997	7277	4162	57.19	3.92	27.45	255913	0
11040	3076	7294	4103	56.25	3.99	29.13	263774	0
2035	3012	7183	4053	56.42	3.86	31.10	265051	0
890	2987	7201	4090	56.80	3.83	28.02	264948	0
2000	2951	7231	4159	57.52	3.94	22.70	263374	0
12000	3026	7245	4100	56.59	3.82	23.20	254012	0
11390	3035	7230	4075	56.36	3.91	30.22	262220	0
27899	3036	7261	4109	56.59	3.88	24.77	258295	0
12035	3056	7277	4102	56.37	3.94	28.98	257850	0
17899	3003	7171	4046	56.42	3.93	26.05	261134	0
22000	3109	7248	4020	55.46	3.88	29.87	262147	0
22035	3025	7227	4084	56.51	3.89	29.58	264045	0
31040	3051	7193	4023	55.93	3.89	23.06	263668	0
21390	3045	7275	4111	56.51	3.97	25.05	266192	0
543	3132	7229	3979	55.04	3.76	25.35	259171	0
871	2967	7230	4147	57.36	3.87	41.47	260238	0
33	3017	7236	4100	56.66	3.85	32.61	257619	0
1098	3069	7259	4072	56.10	3.96	26.85	257047	0
32035	3046	7229	4061	56.18	3.93	33.35	264693	0
90	3027	7210	4065	56.38	3.84	33.52	257397	0
1176	3051	7253	4082	56.28	3.94	30.48	262450	0
1394	3036	7159	4006	55.96	3.80	30.14	259257	0
671	3038	7247	4090	56.44	4.00	35.78	265846	0
8888	3048	7238	4072	56.26	3.90	27.09	261219	0
9761	2983	7247	4145	57.20	3.90	25.33	263842	0
