Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
250	3033	6531	3348	51.26	3.53	20.34	226691	0
1	3038	6464	3277	50.70	3.55	24.38	224899	0
98	3014	6509	3348	51.44	3.54	20.58	228420	0
50	3015	6510	3345	51.38	3.61	22.89	235219	0
150	3045	6455	3263	50.55	3.48	29.89	226325	0
2035	3048	6478	3285	50.71	3.48	27.13	228112	0
890	3057	6510	3303	50.74	3.46	34.41	227183	0
11390	3027	6519	3342	51.27	3.54	25.00	226663	0
2000	3040	6513	3329	51.11	3.63	22.38	232748	0
12000	3060	6508	3299	50.69	3.46	30.71	229343	0
7899	3077	6506	3277	50.37	3.63	33.46	229844	0
11040	3036	6526	3339	51.16	3.51	23.86	231406	0
21390	3037	6528	3345	51.24	3.57	19.68	224345	0
22035	3011	6522	3361	51.53	3.63	34.01	225661	0
12035	3057	6515	3306	50.74	3.56	22.71	228318	0
17899	3014	6531	3370	51.60	3.57	32.93	227627	0
27899	3001	6530	3377	51.72	3.60	28.08	227163	0
22000	3051	6526	3325	50.95	3.55	22.47	230627	0
31040	3024	6521	3350	51.37	3.58	27.58	229570	0
1098	3042	6566	3371	51.34	3.54	21.94	223199	0
871	3046	6550	3353	51.19	3.52	25.35	229137	0
32035	3031	6508	3326	51.11	3.55	23.58	230756	0
90	3064	6519	3304	50.68	3.47	23.14	231056	0
33	3108	6531	3274	50.13	3.57	21.93	228296	0
543	3055	6517	3314	50.85	3.65	21.57	225321	0
1176	3037	6501	3315	50.99	3.43	24.60	228494	0
8888	3027	6529	3351	51.32	3.55	19.51	229177	0
671	3026	6546	3369	51.47	3.69	26.23	229084	0
1394	3019	6526	3359	51.47	3.57	23.64	228394	0
9761	3027	6538	3361	51.41	3.59	28.88	229492	0
