Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
150	3583	6134	2368	38.60	3.26	22.73	206685	0
50	3580	6102	2338	38.32	3.32	28.38	207891	0
98	3598	6148	2365	38.47	3.41	27.30	204338	0
1	3593	6161	2383	38.68	3.40	27.70	207428	0
250	3609	6115	2323	37.99	3.28	26.07	207591	0
890	3619	6155	2351	38.20	3.39	27.40	206906	0
2000	3604	6159	2371	38.50	3.42	27.42	207694	0
2035	3589	6116	2342	38.29	3.37	28.13	206543	0
7899	3614	6147	2350	38.23	3.33	25.17	210378	0
12000	3587	6146	2374	38.63	3.38	32.34	205968	0
11040	3605	6152	2363	38.41	3.34	26.31	208125	0
11390	3600	6181	2398	38.80	3.34	28.29	208327	0
22000	3596	6150	2369	38.52	3.31	27.94	209019	0
12035	3611	6164	2370	38.45	3.41	26.65	205577	0
21390	3580	6146	2381	38.74	3.37	26.31	206268	0
17899	3610	6181	2386	38.60	3.44	27.50	209854	0
22035	3565	6086	2337	38.40	3.19	26.33	203669	0
31040	3558	6097	2356	38.64	3.30	25.93	207303	0
27899	3586	6143	2377	38.69	3.33	27.86	207580	0
32035	3584	6136	2370	38.62	3.34	27.47	205835	0
33	3595	6157	2378	38.62	3.40	29.06	206440	0
871	3595	6136	2358	38.43	3.31	25.68	206585	0
1176	3593	6129	2352	38.37	3.28	22.79	208760	0
90	3592	6197	2422	39.08	3.43	29.00	208891	0
1098	3584	6163	2395	38.86	3.35	28.70	207245	0
543	3602	6185	2399	38.79	3.39	26.41	208149	0
9761	3612	6157	2361	38.35	3.33	26.39	206842	0
1394	3623	6162	2359	38.28	3.40	33.32	209345	0
8888	3614	6182	2385	38.58	3.45	26.80	209745	0
671	3600	6141	2357	38.38	3.35	29.23	209276	0
